"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","p.adjust.digits"
"GO:0001829","GO:0001829","trophectodermal cell differentiation","2/4","18/9489",2.03470026084205e-05,0.0026858043443115,0.000985223284197201,"Cnot1/Rbm46",2,0.003
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","2/4","86/9489",0.000481429727787972,0.0206248467586311,0.00756573326074185,"Cnot1/Rbm46",2,0.021
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","2/4","151/9489",0.00147804470687096,0.0289816148702931,0.0106312143862319,"Cnot1/Rbm46",2,0.029
"GO:0008544","GO:0008544","epidermis development","2/4","208/9489",0.00278699040963409,0.0347276555424169,0.0127390123999296,"Mysm1/Clic5",2,0.035
"GO:0044270","GO:0044270","cellular nitrogen compound catabolic process","2/4","219/9489",0.00308547578314588,0.0347276555424169,0.0127390123999296,"Cnot1/Rbm46",2,0.035
"GO:0046700","GO:0046700","heterocycle catabolic process","2/4","219/9489",0.00308547578314588,0.0347276555424169,0.0127390123999296,"Cnot1/Rbm46",2,0.035
"GO:0019439","GO:0019439","aromatic compound catabolic process","2/4","230/9489",0.00339863188697001,0.0347276555424169,0.0127390123999296,"Cnot1/Rbm46",2,0.035
"GO:1901361","GO:1901361","organic cyclic compound catabolic process","2/4","243/9489",0.00378754112942152,0.0347276555424169,0.0127390123999296,"Cnot1/Rbm46",2,0.035
"GO:0048385","GO:0048385","regulation of retinoic acid receptor signaling pathway","1/4","10/9489",0.00420941279302023,0.0347276555424169,0.0127390123999296,"Cnot1",1,0.035
"GO:0033147","GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","1/4","11/9489",0.0046296219236065,0.0359476525832975,0.0131865392251331,"Cnot1",1,0.036
"GO:0010608","GO:0010608","posttranscriptional regulation of gene expression","2/4","278/9489",0.00493502659121138,0.0361901950022168,0.0132755101284049,"Cnot1/Rbm46",2,0.036
"GO:0002024","GO:0002024","diet induced thermogenesis","1/4","13/9489",0.00546964119594862,0.0370194087612779,0.0135796874243922,"Clic5",1,0.037
"GO:0033962","GO:0033962","P-body assembly","1/4","14/9489",0.00588945139383967,0.0370194087612779,0.0135796874243922,"Cnot1",1,0.037
"GO:0051797","GO:0051797","regulation of hair follicle development","1/4","14/9489",0.00588945139383967,0.0370194087612779,0.0135796874243922,"Mysm1",1,0.037
"GO:0060088","GO:0060088","auditory receptor cell stereocilium organization","1/4","15/9489",0.0063091286702962,0.0377418865356363,0.0138447111693722,"Clic5",1,0.038
"GO:0016578","GO:0016578","histone deubiquitination","1/4","16/9489",0.00672867305337843,0.0377418865356363,0.0138447111693722,"Mysm1",1,0.038
"GO:0002093","GO:0002093","auditory receptor cell morphogenesis","1/4","17/9489",0.00714808457114324,0.0377418865356363,0.0138447111693722,"Clic5",1,0.038
"GO:0016071","GO:0016071","mRNA metabolic process","2/4","370/9489",0.00863504037616221,0.0407080474876218,0.0149327765903557,"Cnot1/Rbm46",2,0.041
"GO:0042634","GO:0042634","regulation of hair cycle","1/4","23/9489",0.00966176507690764,0.0425117663383936,0.0155944278434299,"Mysm1",1,0.043
"GO:2000036","GO:2000036","regulation of stem cell population maintenance","1/4","31/9489",0.0130059106665866,0.0454328179273878,0.0166659459701742,"Cnot1",1,0.045
"GO:0031329","GO:0031329","regulation of cellular catabolic process","2/4","460/9489",0.0131816809341737,0.0454328179273878,0.0166659459701742,"Cnot1/Rbm46",2,0.045
"GO:0050885","GO:0050885","neuromuscular process controlling balance","1/4","42/9489",0.0175902732941309,0.0494024696771335,0.0181221180633823,"Clic5",1,0.049
