"cell_ID"	"FOV"	"cell_type"
"s37"	0	"astrocytes"
"s40"	0	"astrocytes"
"s42"	0	"astrocytes"
"s43"	0	"astrocytes"
"s45"	0	"astrocytes"
"s51"	0	"astrocytes"
"s100"	0	"astrocytes"
"s118"	0	"astrocytes"
"s137"	1	"astrocytes"
"s160"	1	"astrocytes"
"s171"	1	"astrocytes"
"s193"	1	"astrocytes"
"s202"	1	"astrocytes"
"s245"	2	"astrocytes"
"s257"	2	"astrocytes"
"s283"	2	"astrocytes"
"s288"	2	"astrocytes"
"s298"	2	"astrocytes"
"s326"	3	"astrocytes"
"s336"	3	"astrocytes"
"s340"	3	"astrocytes"
"s347"	3	"astrocytes"
"s358"	3	"astrocytes"
"s424"	4	"astrocytes"
"s427"	4	"astrocytes"
"s459"	4	"astrocytes"
"s460"	4	"astrocytes"
"s487"	4	"astrocytes"
"s491"	4	"astrocytes"
"s505"	4	"astrocytes"
"s512"	4	"astrocytes"
