"cell_ID"	"X"	"Y"
"s1"	1632.02	-1305.7
"s2"	1589.47	-669.51
"s3"	1539.89	-1185.9
"s5"	1477.85	-763.87
"s7"	1291.34	-957.71
"s9"	1218.73	-806.56
"s10"	1192.59	-1800.1
"s11"	1202.12	-1886
"s12"	1183.07	-950.97
"s14"	1128.82	-1596.5
"s15"	1115.86	-1021.4
"s17"	1074.92	-391.16
"s18"	1045.9	-597.81
"s20"	1024.7	-469.54
"s21"	1017.8	-1636.6
"s25"	938.6	-1594.2
"s27"	923.3	-560.36
"s28"	912.5	-742.3
"s29"	913.1	-1751.6
"s30"	882	-668.36
"s31"	810.5	-241.57
"s32"	800.9	-624.11
"s33"	802.4	-103.12
"s34"	798.2	-449.39
"s39"	612.9	-1363.8
"s52"	1838.05	-469.57
"s53"	1831.19	-1090.2
"s56"	1769.95	-390.59
"s57"	1734.44	-1117
"s58"	1687.25	-520.51
"s59"	1664.57	-980.24
"s61"	1508.52	-527.31
"s63"	1369.49	-571.13
"s67"	1812.68	-1319.2
"s68"	1797.44	-1875.4
"s69"	1712.56	-1428.9
"s70"	1679.39	-152.2
"s71"	1649.39	-334.16
"s72"	1632.03	-1623.4
"s73"	1575.96	-228.45
"s74"	1575.84	-1829.6
"s75"	1556.42	-1741.8
"s76"	1566.09	-1418.1
"s77"	1551.13	-363.87
"s78"	1492.65	-291.89
"s79"	1474.76	-1745
"s80"	1466.01	-1617.6
"s81"	1449.26	-1238
"s83"	1457.65	-402.8
"s84"	1444.82	-238.72
"s85"	1440.75	-1298.3
"s88"	1400.12	-448.36
"s91"	1339.72	-370.94
"s92"	1298.05	-781.88
"s93"	1244.38	-191.29
"s95"	1228.13	-739.38
"s97"	1208	-1502.4
"s98"	1171.89	-266
"s99"	1156.03	-1357.2
"s101"	1109.02	-1308.9
"s103"	1106.51	-1460.8
"s108"	956.3	-113.16
"s109"	939.4	-280.75
"s111"	894.4	-234.96
"s112"	891.1	-404.65
"s113"	874.3	-1127
"s115"	775.7	-796.06
"s121"	1811.07	-1634
"s195"	2413.27	-440.01
"s214"	2153.47	-743.17
"s215"	2126.17	-1087.2
"s368"	6116.47	-1473.9
"s396"	5623.87	-1185.6
"s411"	5444.27	-1895.4
