"cell_ID"	"FOV"	"cell_types"
"s1"	"0"	"B.cell-IgG"
"s2"	"2"	"B.cell-IgA"
"s3"	"0"	"B.cell-IgA"
"s4"	"1"	"DCSC"
"s5"	"0"	"DCSC"
"s6"	"2"	"DCSC"
"s7"	"2"	"DCSC"
"s8"	"1"	"Stem"
"s9"	"1"	"B.cell-Immature"
"s10"	"2"	"Macrophage"
"s11"	"2"	"Macrophage"
"s12"	"0"	"Fibroblast"
"s13"	"0"	"DCSC"
"s14"	"0"	"Smooth.Muscle"
"s15"	"1"	"Paneth-like"
"s16"	"1"	"Stem"
"s17"	"1"	"Stem"
"s18"	"1"	"DCSC"
"s19"	"2"	"Macrophage"
"s20"	"0"	"Smooth.Muscle"
"s21"	"2"	"Fibroblast"
"s22"	"0"	"DCSC"
"s23"	"0"	"Stem"
"s24"	"0"	"DCSC"
"s25"	"0"	"Paneth-like"
"s26"	"1"	"Macrophage"
"s27"	"0"	"B.cell-IgA"
"s28"	"0"	"Fibroblast"
"s29"	"1"	"Stem"
"s30"	"1"	"DCSC"
"s31"	"1"	"DCSC"
"s32"	"0"	"DCSC"
"s33"	"2"	"Macrophage"
"s34"	"0"	"B.cell-IgG"
"s35"	"2"	"B.cell-IgA"
"s36"	"1"	"Stem"
"s37"	"1"	"Stem"
"s38"	"1"	"Stem"
"s39"	"1"	"B.cell-IgA"
"s40"	"2"	"B.cell-IgA"
"s41"	"1"	"B.cell-IgA"
"s42"	"0"	"B.cell-IgA"
"s43"	"2"	"Paneth-like"
"s44"	"1"	"DCSC"
"s45"	"0"	"Paneth-like"
"s46"	"0"	"B.cell-IgA"
"s47"	"2"	"B.cell-Immature"
"s48"	"1"	"B.cell-IgG"
"s49"	"1"	"Smooth.Muscle"
"s50"	"2"	"B.cell-IgG"
"s51"	"2"	"B.cell-IgA"
"s52"	"1"	"B.cell-IgA"
"s53"	"1"	"DCSC"
"s54"	"1"	"DCSC"
"s55"	"1"	"DCSC"
"s56"	"0"	"DCSC"
"s57"	"1"	"Paneth-like"
"s58"	"1"	"B.cell-Immature"
"s59"	"1"	"Macrophage"
"s60"	"1"	"Macrophage"
"s61"	"0"	"Fibroblast"
"s62"	"2"	"DCSC"
"s63"	"2"	"Smooth.Muscle"
"s64"	"1"	"Paneth-like"
"s65"	"2"	"Stem"
"s66"	"2"	"Stem"
"s67"	"1"	"Paneth-like"
"s68"	"2"	"Macrophage"
"s69"	"2"	"Smooth.Muscle"
"s70"	"0"	"Fibroblast"
"s71"	"0"	"DCSC"
"s72"	"0"	"DCSC"
"s73"	"0"	"DCSC"
"s74"	"2"	"Paneth-like"
"s75"	"1"	"Macrophage"
"s76"	"2"	"B.cell-IgA"
"s77"	"0"	"Fibroblast"
"s78"	"0"	"Stem"
"s79"	"1"	"DCSC"
"s80"	"0"	"DCSC"
"s81"	"0"	"DCSC"
"s82"	"0"	"Macrophage"
"s83"	"0"	"B.cell-IgG"
"s84"	"2"	"B.cell-IgA"
"s85"	"1"	"Stem"
"s86"	"0"	"Stem"
"s87"	"0"	"Stem"
"s88"	"2"	"B.cell-IgA"
"s89"	"2"	"B.cell-IgA"
"s90"	"2"	"B.cell-IgA"
"s91"	"1"	"B.cell-IgA"
"s92"	"1"	"Paneth-like"
"s93"	"1"	"DCSC"
"s94"	"2"	"Paneth-like"
"s95"	"1"	"Paneth-like"
"s96"	"1"	"B.cell-Immature"
"s97"	"2"	"B.cell-IgG"
"s98"	"2"	"Smooth.Muscle"
"s99"	"2"	"B.cell-IgG"
"s100"	"0"	"B.cell-IgA"
"s101"	"1"	"Macrophage"
"s102"	"1"	"DCSC"
"s103"	"0"	"DCSC"
"s104"	"2"	"DCSC"
"s105"	"2"	"DCSC"
"s106"	"1"	"Paneth-like"
"s107"	"2"	"B.cell-Immature"
"s108"	"1"	"Macrophage"
"s109"	"0"	"Macrophage"
"s110"	"1"	"Fibroblast"
"s111"	"0"	"Stem"
"s112"	"2"	"Fibroblast"
"s113"	"2"	"Paneth-like"
"s114"	"0"	"Paneth-like"
"s115"	"1"	"Stem"
"s116"	"0"	"Paneth-like"
"s117"	"2"	"Macrophage"
"s118"	"1"	"Smooth.Muscle"
"s119"	"2"	"Smooth.Muscle"
"s120"	"2"	"DCSC"
"s121"	"0"	"DCSC"
"s122"	"0"	"DCSC"
"s123"	"1"	"Paneth-like"
"s124"	"1"	"Macrophage"
"s125"	"1"	"B.cell-IgA"
"s126"	"0"	"Fibroblast"
"s127"	"0"	"Stem"
"s128"	"0"	"DCSC"
"s129"	"1"	"DCSC"
"s130"	"0"	"DCSC"
"s131"	"2"	"B.cell-IgG"
"s132"	"1"	"B.cell-IgG"
"s133"	"2"	"B.cell-IgA"
"s134"	"2"	"Stem"
"s135"	"1"	"Stem"
"s136"	"2"	"Stem"
"s137"	"2"	"B.cell-IgA"
"s138"	"0"	"B.cell-IgA"
"s139"	"0"	"B.cell-IgA"
"s140"	"1"	"B.cell-IgA"
"s141"	"1"	"Paneth-like"
"s142"	"0"	"DCSC"
"s143"	"1"	"DCSC"
"s144"	"2"	"Paneth-like"
"s145"	"2"	"B.cell-Immature"
"s146"	"2"	"B.cell-IgG"
"s147"	"2"	"Smooth.Muscle"
"s148"	"2"	"B.cell-IgG"
"s149"	"0"	"B.cell-IgA"
"s150"	"2"	"Macrophage"
"s151"	"0"	"DCSC"
"s152"	"2"	"DCSC"
"s153"	"1"	"DCSC"
"s154"	"0"	"DCSC"
"s155"	"2"	"Paneth-like"
"s156"	"0"	"Stem"
"s157"	"1"	"Macrophage"
"s158"	"0"	"Macrophage"
"s159"	"1"	"Fibroblast"
"s160"	"1"	"DCSC"
"s161"	"1"	"Fibroblast"
"s162"	"2"	"Paneth-like"
"s163"	"0"	"Paneth-like"
"s164"	"1"	"Paneth-like"
"s165"	"2"	"Paneth-like"
"s166"	"2"	"Macrophage"
"s167"	"2"	"Smooth.Muscle"
"s168"	"2"	"Smooth.Muscle"
"s169"	"1"	"DCSC"
"s170"	"2"	"DCSC"
"s171"	"0"	"DCSC"
"s172"	"2"	"DCSC"
"s173"	"0"	"Macrophage"
"s174"	"1"	"Stem"
"s175"	"1"	"Fibroblast"
"s176"	"1"	"Stem"
"s177"	"2"	"DCSC"
"s178"	"0"	"DCSC"
"s179"	"0"	"DCSC"
"s180"	"0"	"B.cell-IgG"
"s181"	"2"	"B.cell-IgA"
"s182"	"2"	"B.cell-IgA"
"s183"	"0"	"Stem"
"s184"	"0"	"Stem"
"s185"	"1"	"Stem"
"s186"	"1"	"B.cell-IgA"
"s187"	"1"	"B.cell-IgA"
"s188"	"2"	"B.cell-IgA"
"s189"	"1"	"B.cell-IgA"
"s190"	"0"	"Paneth-like"
"s191"	"2"	"DCSC"
"s192"	"0"	"DCSC"
"s193"	"1"	"Paneth-like"
"s194"	"0"	"B.cell-Immature"
"s195"	"2"	"B.cell-IgG"
"s196"	"0"	"Smooth.Muscle"
"s197"	"0"	"B.cell-IgG"
"s198"	"2"	"B.cell-IgA"
"s199"	"2"	"Macrophage"
"s200"	"0"	"Macrophage"
"s201"	"0"	"DCSC"
"s202"	"0"	"DCSC"
"s203"	"0"	"DCSC"
"s204"	"0"	"Paneth-like"
"s205"	"0"	"Stem"
"s206"	"0"	"Macrophage"
"s207"	"1"	"Macrophage"
"s208"	"1"	"Fibroblast"
"s209"	"1"	"DCSC"
"s210"	"0"	"Fibroblast"
"s211"	"0"	"Paneth-like"
"s212"	"0"	"Paneth-like"
"s213"	"1"	"Paneth-like"
"s214"	"1"	"Paneth-like"
"s215"	"1"	"Macrophage"
"s216"	"1"	"B.cell-IgA"
"s217"	"1"	"Smooth.Muscle"
"s218"	"0"	"Stem"
"s219"	"1"	"DCSC"
"s220"	"1"	"DCSC"
"s221"	"1"	"DCSC"
"s222"	"1"	"Macrophage"
"s223"	"0"	"Stem"
"s224"	"0"	"Fibroblast"
"s225"	"2"	"Stem"
"s226"	"0"	"Stem"
"s227"	"1"	"DCSC"
"s228"	"0"	"DCSC"
"s229"	"0"	"B.cell-IgG"
"s230"	"2"	"B.cell-IgA"
"s231"	"0"	"B.cell-IgA"
"s232"	"2"	"Paneth-like"
"s233"	"0"	"Stem"
"s234"	"1"	"Stem"
"s235"	"1"	"B.cell-IgA"
"s236"	"1"	"B.cell-IgA"
"s237"	"2"	"B.cell-IgA"
"s238"	"0"	"B.cell-IgA"
"s239"	"2"	"Paneth-like"
"s240"	"0"	"DCSC"
"s241"	"0"	"DCSC"
"s242"	"0"	"Paneth-like"
"s243"	"2"	"DCSC"
"s244"	"0"	"B.cell-IgG"
"s245"	"2"	"Smooth.Muscle"
"s246"	"1"	"B.cell-IgG"
"s247"	"0"	"B.cell-Immature"
"s248"	"2"	"Macrophage"
"s249"	"2"	"Macrophage"
"s250"	"1"	"DCSC"
"s251"	"0"	"DCSC"
"s252"	"2"	"DCSC"
"s253"	"1"	"Paneth-like"
"s254"	"0"	"Stem"
"s255"	"1"	"Macrophage"
"s256"	"2"	"DCSC"
"s257"	"0"	"Fibroblast"
"s258"	"1"	"DCSC"
"s259"	"1"	"Fibroblast"
"s260"	"1"	"DCSC"
"s261"	"0"	"Stem"
"s262"	"0"	"Paneth-like"
"s263"	"0"	"Paneth-like"
"s264"	"0"	"Macrophage"
"s265"	"1"	"B.cell-IgA"
"s266"	"0"	"Smooth.Muscle"
"s267"	"0"	"Stem"
"s268"	"2"	"DCSC"
"s269"	"1"	"DCSC"
"s270"	"2"	"DCSC"
"s271"	"0"	"Macrophage"
"s272"	"2"	"B.cell-IgG"
"s273"	"1"	"Fibroblast"
"s274"	"0"	"Stem"
"s275"	"0"	"Stem"
"s276"	"1"	"DCSC"
"s277"	"2"	"Stem"
"s278"	"2"	"B.cell-IgG"
"s279"	"2"	"B.cell-IgA"
"s280"	"2"	"B.cell-IgA"
"s281"	"1"	"Paneth-like"
"s282"	"0"	"Stem"
"s283"	"1"	"Stem"
"s284"	"0"	"B.cell-IgA"
"s285"	"0"	"B.cell-IgA"
"s286"	"2"	"B.cell-IgA"
"s287"	"1"	"B.cell-IgA"
"s288"	"2"	"Paneth-like"
"s289"	"2"	"DCSC"
"s290"	"2"	"DCSC"
"s291"	"1"	"Paneth-like"
"s292"	"1"	"DCSC"
"s293"	"0"	"B.cell-IgG"
"s294"	"2"	"Smooth.Muscle"
"s295"	"2"	"Stem"
"s296"	"0"	"B.cell-Immature"
"s297"	"1"	"Macrophage"
"s298"	"0"	"Macrophage"
"s299"	"2"	"DCSC"
"s300"	"2"	"DCSC"
"s301"	"0"	"Smooth.Muscle"
"s302"	"0"	"Paneth-like"
"s303"	"1"	"Stem"
"s304"	"0"	"Stem"
"s305"	"0"	"DCSC"
"s306"	"2"	"Fibroblast"
"s307"	"1"	"Fibroblast"
"s308"	"2"	"Fibroblast"
"s309"	"0"	"DCSC"
"s310"	"2"	"Stem"
"s311"	"0"	"Paneth-like"
"s312"	"2"	"Paneth-like"
"s313"	"2"	"Macrophage"
"s314"	"1"	"B.cell-IgA"
"s315"	"0"	"Fibroblast"
"s316"	"1"	"Stem"
"s317"	"0"	"DCSC"
"s318"	"0"	"DCSC"
"s319"	"2"	"DCSC"
"s320"	"1"	"Macrophage"
"s321"	"1"	"B.cell-IgG"
"s322"	"2"	"Fibroblast"
"s323"	"0"	"Stem"
"s324"	"0"	"Stem"
"s325"	"2"	"DCSC"
"s326"	"1"	"DCSC"
"s327"	"0"	"B.cell-IgA"
"s328"	"2"	"B.cell-IgA"
"s329"	"2"	"B.cell-IgA"
"s330"	"0"	"Paneth-like"
"s331"	"2"	"Stem"
"s332"	"1"	"Stem"
"s333"	"0"	"B.cell-IgA"
"s334"	"1"	"B.cell-IgA"
"s335"	"1"	"B.cell-IgA"
"s336"	"1"	"B.cell-IgA"
"s337"	"0"	"Paneth-like"
"s338"	"1"	"DCSC"
"s339"	"0"	"DCSC"
"s340"	"0"	"Paneth-like"
"s341"	"0"	"DCSC"
"s342"	"1"	"B.cell-IgG"
"s343"	"1"	"Smooth.Muscle"
"s344"	"0"	"Stem"
"s345"	"2"	"B.cell-Immature"
"s346"	"1"	"Macrophage"
"s347"	"2"	"Macrophage"
"s348"	"2"	"DCSC"
"s349"	"2"	"DCSC"
"s350"	"0"	"Smooth.Muscle"
"s351"	"2"	"Paneth-like"
"s352"	"0"	"Paneth-like"
"s353"	"0"	"Stem"
"s354"	"0"	"DCSC"
"s355"	"1"	"Fibroblast"
"s356"	"0"	"Fibroblast"
"s357"	"1"	"Fibroblast"
"s358"	"2"	"DCSC"
"s359"	"0"	"Stem"
"s360"	"2"	"DCSC"
"s361"	"0"	"Paneth-like"
"s362"	"0"	"Macrophage"
"s363"	"2"	"B.cell-IgA"
"s364"	"0"	"Fibroblast"
"s365"	"2"	"Stem"
"s366"	"2"	"DCSC"
"s367"	"2"	"DCSC"
"s368"	"1"	"DCSC"
"s369"	"0"	"Macrophage"
"s370"	"0"	"B.cell-IgG"
"s371"	"1"	"Fibroblast"
"s372"	"2"	"Stem"
"s373"	"2"	"Stem"
"s374"	"1"	"Stem"
"s375"	"2"	"B.cell-IgA"
"s376"	"0"	"B.cell-IgA"
"s377"	"2"	"B.cell-IgA"
"s378"	"2"	"B.cell-IgA"
"s379"	"2"	"Paneth-like"
"s380"	"2"	"Stem"
"s381"	"0"	"Paneth-like"
"s382"	"0"	"B.cell-IgA"
"s383"	"2"	"B.cell-IgA"
"s384"	"2"	"B.cell-IgA"
"s385"	"0"	"Smooth.Muscle"
"s386"	"0"	"Stem"
"s387"	"0"	"B.cell-Immature"
"s388"	"0"	"Macrophage"
"s389"	"0"	"Macrophage"
"s390"	"2"	"Fibroblast"
"s391"	"2"	"DCSC"
"s392"	"0"	"Smooth.Muscle"
"s393"	"1"	"Paneth-like"
"s394"	"2"	"Paneth-like"
"s395"	"2"	"Stem"
"s396"	"2"	"DCSC"
"s397"	"1"	"Fibroblast"
"s398"	"1"	"Smooth.Muscle"
"s399"	"0"	"Fibroblast"
"s400"	"1"	"DCSC"
"s401"	"2"	"Stem"
"s402"	"1"	"DCSC"
"s403"	"1"	"Paneth-like"
"s404"	"1"	"Macrophage"
"s405"	"0"	"B.cell-IgA"
"s406"	"0"	"Fibroblast"
"s407"	"0"	"Stem"
"s408"	"0"	"DCSC"
"s409"	"1"	"DCSC"
"s410"	"0"	"DCSC"
"s411"	"0"	"Macrophage"
"s412"	"1"	"B.cell-IgG"
"s413"	"1"	"Fibroblast"
"s414"	"0"	"Stem"
"s415"	"0"	"Stem"
"s416"	"0"	"Stem"
"s417"	"2"	"B.cell-IgA"
"s418"	"1"	"B.cell-IgA"
"s419"	"1"	"B.cell-IgA"
"s420"	"0"	"B.cell-IgA"
"s421"	"1"	"Paneth-like"
"s422"	"2"	"Stem"
"s423"	"2"	"Paneth-like"
"s424"	"0"	"B.cell-IgA"
"s425"	"1"	"B.cell-IgA"
"s426"	"0"	"B.cell-IgG"
"s427"	"0"	"Smooth.Muscle"
"s428"	"1"	"Stem"
"s429"	"0"	"B.cell-Immature"
"s430"	"0"	"Macrophage"
"s431"	"0"	"Macrophage"
"s432"	"0"	"Fibroblast"
"s433"	"1"	"DCSC"
"s434"	"1"	"Smooth.Muscle"
"s435"	"2"	"Paneth-like"
"s436"	"1"	"Stem"
"s437"	"0"	"Stem"
"s438"	"0"	"DCSC"
"s439"	"1"	"Macrophage"
"s440"	"1"	"Smooth.Muscle"
"s441"	"0"	"Fibroblast"
"s442"	"0"	"DCSC"
"s443"	"2"	"Stem"
"s444"	"2"	"DCSC"
"s445"	"0"	"Paneth-like"
"s446"	"2"	"Macrophage"
"s447"	"1"	"B.cell-IgA"
"s448"	"1"	"Fibroblast"
"s449"	"2"	"Stem"
"s450"	"2"	"DCSC"
"s451"	"0"	"DCSC"
"s452"	"2"	"DCSC"
"s453"	"0"	"Macrophage"
"s454"	"1"	"B.cell-IgG"
"s455"	"0"	"Fibroblast"
"s456"	"0"	"Stem"
"s457"	"2"	"Stem"
"s458"	"1"	"Stem"
"s459"	"1"	"B.cell-IgA"
"s460"	"1"	"B.cell-IgA"
"s461"	"0"	"B.cell-IgA"
"s462"	"2"	"B.cell-IgA"
"s463"	"2"	"Paneth-like"
"s464"	"2"	"Stem"
"s465"	"1"	"Paneth-like"
"s466"	"1"	"B.cell-IgA"
"s467"	"1"	"B.cell-IgA"
"s468"	"0"	"B.cell-IgG"
"s469"	"2"	"Smooth.Muscle"
"s470"	"2"	"B.cell-IgG"
"s471"	"0"	"B.cell-IgA"
"s472"	"2"	"B.cell-IgA"
"s473"	"2"	"DCSC"
"s474"	"0"	"DCSC"
"s475"	"1"	"DCSC"
"s476"	"0"	"DCSC"
"s477"	"1"	"Stem"
"s478"	"2"	"B.cell-Immature"
"s479"	"2"	"Macrophage"
"s480"	"1"	"Macrophage"
"s481"	"1"	"Fibroblast"
"s482"	"1"	"DCSC"
"s483"	"0"	"Smooth.Muscle"
"s484"	"1"	"Paneth-like"
"s485"	"0"	"Stem"
"s486"	"0"	"Stem"
"s487"	"1"	"DCSC"
"s488"	"1"	"Macrophage"
"s489"	"1"	"Smooth.Muscle"
"s490"	"2"	"Fibroblast"
"s491"	"0"	"DCSC"
"s492"	"2"	"Paneth-like"
"s493"	"1"	"DCSC"
"s494"	"2"	"Paneth-like"
"s495"	"2"	"Macrophage"
"s496"	"2"	"B.cell-IgA"
"s497"	"1"	"Fibroblast"
"s498"	"1"	"Stem"
"s499"	"0"	"DCSC"
"s500"	"2"	"DCSC"
"s501"	"1"	"DCSC"
"s502"	"2"	"Macrophage"
"s503"	"0"	"B.cell-IgA"
"s504"	"1"	"B.cell-IgA"
"s505"	"1"	"Stem"
"s506"	"2"	"Stem"
"s507"	"0"	"Stem"
"s508"	"1"	"B.cell-IgA"
"s509"	"0"	"B.cell-IgA"
"s510"	"0"	"B.cell-IgA"
"s511"	"1"	"B.cell-IgA"
"s512"	"2"	"Paneth-like"
"s513"	"1"	"DCSC"
"s514"	"0"	"Paneth-like"
"s515"	"2"	"B.cell-IgA"
"s516"	"0"	"B.cell-Immature"
"s517"	"2"	"B.cell-IgG"
"s518"	"1"	"Smooth.Muscle"
"s519"	"2"	"B.cell-IgG"
"s520"	"2"	"B.cell-IgA"
"s521"	"0"	"Macrophage"
"s522"	"1"	"DCSC"
"s523"	"2"	"DCSC"
"s524"	"2"	"DCSC"
"s525"	"1"	"DCSC"
"s526"	"0"	"Stem"
"s527"	"0"	"B.cell-Immature"
"s528"	"2"	"Macrophage"
"s529"	"0"	"Macrophage"
"s530"	"1"	"Fibroblast"
"s531"	"0"	"Stem"
"s532"	"0"	"Smooth.Muscle"
"s533"	"2"	"Paneth-like"
"s534"	"2"	"Stem"
"s535"	"1"	"Stem"
"s536"	"2"	"Paneth-like"
"s537"	"1"	"Macrophage"
"s538"	"0"	"Smooth.Muscle"
"s539"	"1"	"Fibroblast"
"s540"	"1"	"DCSC"
"s541"	"0"	"DCSC"
"s542"	"2"	"DCSC"
"s543"	"2"	"DCSC"
"s544"	"1"	"Macrophage"
"s545"	"0"	"B.cell-IgA"
"s546"	"0"	"Fibroblast"
"s547"	"0"	"Stem"
"s548"	"0"	"DCSC"
"s549"	"1"	"DCSC"
"s550"	"1"	"DCSC"
"s551"	"2"	"B.cell-IgG"
"s552"	"2"	"B.cell-IgA"
"s553"	"2"	"B.cell-IgA"
"s554"	"1"	"Stem"
"s555"	"0"	"Stem"
"s556"	"2"	"Stem"
"s557"	"2"	"B.cell-IgA"
"s558"	"1"	"B.cell-IgA"
"s559"	"0"	"B.cell-IgA"
"s560"	"0"	"B.cell-IgA"
"s561"	"1"	"Paneth-like"
"s562"	"2"	"DCSC"
"s563"	"1"	"Paneth-like"
"s564"	"1"	"Paneth-like"
"s565"	"2"	"B.cell-Immature"
"s566"	"1"	"B.cell-IgG"
"s567"	"2"	"Smooth.Muscle"
"s568"	"2"	"B.cell-IgG"
"s569"	"0"	"B.cell-IgA"
"s570"	"2"	"Macrophage"
"s571"	"1"	"DCSC"
"s572"	"1"	"DCSC"
"s573"	"2"	"DCSC"
"s574"	"2"	"DCSC"
"s575"	"1"	"Paneth-like"
"s576"	"0"	"B.cell-Immature"
"s577"	"0"	"Macrophage"
"s578"	"1"	"Macrophage"
"s579"	"0"	"Fibroblast"
"s580"	"1"	"Stem"
"s581"	"0"	"Fibroblast"
"s582"	"0"	"Paneth-like"
"s583"	"0"	"Paneth-like"
"s584"	"2"	"Paneth-like"
"s585"	"1"	"Paneth-like"
"s586"	"0"	"Macrophage"
"s587"	"1"	"Smooth.Muscle"
"s588"	"0"	"Smooth.Muscle"
"s589"	"2"	"DCSC"
"s590"	"0"	"DCSC"
"s591"	"1"	"DCSC"
"s592"	"0"	"DCSC"
"s593"	"0"	"Macrophage"
"s594"	"2"	"B.cell-IgA"
"s595"	"1"	"Fibroblast"
"s596"	"0"	"Stem"
"s597"	"0"	"DCSC"
"s598"	"2"	"DCSC"
"s599"	"0"	"DCSC"
"s600"	"0"	"B.cell-IgG"
"s601"	"1"	"B.cell-IgA"
"s602"	"0"	"B.cell-IgA"
"s603"	"1"	"Stem"
"s604"	"2"	"Stem"
"s605"	"0"	"Stem"
"s606"	"0"	"B.cell-IgA"
"s607"	"2"	"B.cell-IgA"
"s608"	"0"	"B.cell-IgA"
"s609"	"2"	"B.cell-IgA"
"s610"	"0"	"Paneth-like"
"s611"	"2"	"DCSC"
"s612"	"0"	"Paneth-like"
"s613"	"0"	"Paneth-like"
"s614"	"0"	"B.cell-Immature"
"s615"	"0"	"B.cell-IgG"
"s616"	"1"	"Smooth.Muscle"
"s617"	"0"	"B.cell-IgG"
"s618"	"1"	"B.cell-IgA"
"s619"	"1"	"Macrophage"
"s620"	"2"	"DCSC"
"s621"	"1"	"DCSC"
"s622"	"2"	"DCSC"
"s623"	"1"	"DCSC"
"s624"	"1"	"Paneth-like"
"s625"	"1"	"Stem"
"s626"	"2"	"Macrophage"
"s627"	"1"	"Macrophage"
"s628"	"1"	"Fibroblast"
"s629"	"0"	"Stem"
"s630"	"2"	"Fibroblast"
"s631"	"1"	"DCSC"
"s632"	"2"	"Paneth-like"
"s633"	"0"	"Paneth-like"
