"","L2/3 eNeuron","Adarb2 iNeuron","Lhx6 iNeuron","L4 eNeuron","astrocytes","microglia","endothelial","OPC","mural","L5 eNeuron","L6 eNeuron","Olig"
"L2/3 eNeuron",12,1,0,0,5,0,3,1,0,0,0,0
"Adarb2 iNeuron",10,11,0,2,3,0,2,0,0,0,0,0
"Lhx6 iNeuron",7,7,0,0,0,0,2,0,1,1,0,0
"L4 eNeuron",0,0,1,36,0,0,0,0,0,4,4,0
"astrocytes",5,4,0,5,2,0,3,2,0,1,0,0
"microglia",0,0,0,0,2,0,0,0,0,0,1,0
"endothelial",4,3,1,6,2,0,4,2,0,1,1,1
"OPC",0,0,0,0,2,0,1,2,0,0,0,1
"mural",0,0,5,0,0,0,0,0,0,4,0,0
"L5 eNeuron",0,0,0,1,0,0,0,4,0,19,0,1
"L6 eNeuron",0,0,0,1,0,0,0,8,1,0,0,1
"Olig",0,0,0,0,4,0,0,4,0,1,0,8
