"","Adarb2.iNeuron","astrocytes","endothelial","L2/3.eNeuron","L4.eNeuron","L5.eNeuron","L6.eNeuron","Lhx6.iNeuron","microglia","mural","Olig","OPC"
"Adarb2.iNeuron",7,11,7,0,1,0,10,28,0,0,0,0
"astrocytes",5,7,3,27,0,0,1,0,7,0,2,3
"endothelial",7,2,18,5,0,1,0,0,0,0,3,0
"L2/3.eNeuron",2,21,13,16,4,0,0,5,0,0,0,4
"L4.eNeuron",10,5,12,0,5,0,32,4,0,0,0,0
"L5.eNeuron",0,6,11,0,7,8,0,4,0,4,3,21
"L6.eNeuron",14,10,6,0,32,0,0,4,1,0,1,7
"Lhx6.iNeuron",19,0,5,0,2,1,0,11,0,3,0,0
"microglia",0,16,0,0,0,0,2,0,0,0,0,0
"mural",0,0,0,0,0,1,1,17,0,0,0,0
"Olig",0,13,17,0,0,3,1,0,0,0,0,11
"OPC",0,18,16,17,0,24,3,0,0,0,1,3
