"cell_ID"	"FOV"	"cell_type"
"s135"	1	"L5 eNeuron"
"s138"	1	"L5 eNeuron"
"s228"	2	"L5 eNeuron"
"s229"	2	"L5 eNeuron"
"s230"	2	"L5 eNeuron"
"s231"	2	"L5 eNeuron"
"s232"	2	"L5 eNeuron"
"s234"	2	"L5 eNeuron"
"s235"	2	"L5 eNeuron"
"s236"	2	"L5 eNeuron"
"s242"	2	"L5 eNeuron"
"s243"	2	"L5 eNeuron"
"s244"	2	"L5 eNeuron"
"s250"	2	"L5 eNeuron"
"s251"	2	"L5 eNeuron"
"s252"	2	"L5 eNeuron"
"s256"	2	"L5 eNeuron"
"s258"	2	"L5 eNeuron"
"s259"	2	"L5 eNeuron"
"s260"	2	"L5 eNeuron"
"s262"	2	"L5 eNeuron"
"s263"	2	"L5 eNeuron"
"s270"	2	"L5 eNeuron"
"s272"	2	"L5 eNeuron"
"s274"	2	"L5 eNeuron"
"s278"	2	"L5 eNeuron"
"s280"	2	"L5 eNeuron"
"s281"	2	"L5 eNeuron"
"s284"	2	"L5 eNeuron"
"s285"	2	"L5 eNeuron"
"s286"	2	"L5 eNeuron"
"s292"	2	"L5 eNeuron"
"s293"	2	"L5 eNeuron"
"s296"	2	"L5 eNeuron"
"s299"	2	"L5 eNeuron"
"s300"	2	"L5 eNeuron"
"s301"	2	"L5 eNeuron"
"s304"	2	"L5 eNeuron"
"s305"	2	"L5 eNeuron"
"s308"	2	"L5 eNeuron"
"s311"	2	"L5 eNeuron"
"s313"	2	"L5 eNeuron"
"s343"	3	"L5 eNeuron"
"s357"	3	"L5 eNeuron"
"s369"	3	"L5 eNeuron"
"s374"	3	"L5 eNeuron"
"s392"	3	"L5 eNeuron"
"s395"	3	"L5 eNeuron"
"s397"	3	"L5 eNeuron"
"s398"	3	"L5 eNeuron"
"s401"	3	"L5 eNeuron"
"s407"	3	"L5 eNeuron"
"s415"	3	"L5 eNeuron"
"s418"	3	"L5 eNeuron"
"s435"	4	"L5 eNeuron"
"s447"	4	"L5 eNeuron"
"s467"	4	"L5 eNeuron"
"s479"	4	"L5 eNeuron"
"s480"	4	"L5 eNeuron"
"s494"	4	"L5 eNeuron"
"s500"	4	"L5 eNeuron"
"s506"	4	"L5 eNeuron"
"s516"	4	"L5 eNeuron"
"s517"	4	"L5 eNeuron"
