"cell_ID"	"X"	"Y"
"s55"	1785.95	-981.25
"s64"	1839.07	-1458
"s65"	1802.32	-1738.7
"s82"	1457.75	-1875.9
"s89"	1357.53	-699.92
"s90"	1351.5	-1923.8
"s96"	1210.65	-374.81
"s102"	1124.85	-745.68
"s104"	1064.34	-799.79
"s119"	1915.47	-1378.7
"s120"	1896.97	-1547.5
"s122"	3248.83	-681.3
"s123"	3142.78	-773.77
"s125"	3076.52	-682.46
"s127"	3013.1	-594.86
"s128"	2990.89	-837.63
"s129"	2904.34	-667.59
"s130"	2865.11	-575.64
"s131"	2863.69	-830.55
"s132"	2773.15	-822.66
"s133"	2719.27	-926.19
"s134"	3561.82	-1601.6
"s136"	3495.02	-1800.3
"s139"	3420.45	-911.59
"s140"	3388.07	-1512.5
"s141"	3289.95	-1083.2
"s142"	3286.12	-1606.3
"s143"	3229.47	-1456.6
"s144"	3163.33	-1464.7
"s145"	3140.89	-1080.9
"s147"	3144.8	-1814.4
"s148"	3126.12	-1320.5
"s149"	3099.55	-376.66
"s150"	3054.52	-301.91
"s152"	3039.23	-1224.7
"s153"	3011.5	-407.08
"s154"	2997.63	-1439.6
"s157"	2869.05	-1581.2
"s158"	2865.05	-1496.8
"s159"	2853.74	-375.37
"s161"	2847.87	-508.2
"s162"	2836.59	-1402.5
"s163"	2807.27	-1159.9
"s164"	2746.73	-1495.1
"s165"	2729.73	-366.94
"s166"	2729.87	-1388.5
"s167"	2722.57	-513.53
"s169"	2700.37	-289.92
"s170"	2686.47	-1555.4
"s172"	2639.67	-1816.8
"s173"	2637.67	-1311.8
"s174"	2633.27	-1223.2
"s175"	2621.07	-1954.9
"s176"	2624.17	-1410.2
"s179"	2599.27	-1103.8
"s180"	2590.07	-247.23
"s181"	2583.17	-1534.7
"s182"	2569.37	-493.17
"s183"	2563.67	-176.2
"s184"	2543.37	-1197.8
"s185"	2528.47	-1370.7
"s186"	2530.87	-324.83
"s187"	2529.57	-1443.6
"s188"	2503.17	-427.71
"s189"	2501.77	-1535.1
"s190"	2463.47	-900.27
"s191"	2445.37	-224.88
"s192"	2421.67	-1461.1
"s194"	2408.07	-1117.7
"s196"	2407.37	-1737.6
"s197"	2385.87	-945.65
"s200"	2323.37	-1802.9
"s201"	2332.07	-1326.7
"s203"	2296.57	-514.6
"s205"	2279.77	-861.75
"s207"	2252.07	-743.94
"s208"	2247.57	-1463.2
"s209"	2240.87	-1109
"s210"	2226.67	-464.69
"s211"	2203.27	-918.22
"s212"	2197.37	-1748.9
"s216"	2099.27	-856.63
"s217"	2104.27	-531.71
"s218"	2086.87	-1751.5
"s219"	2082.07	-653.89
"s222"	2052.37	-1164.1
"s223"	2034.97	-1536.8
"s224"	1986.67	-1020.7
"s225"	1965.17	-918.24
"s226"	1876.87	-1046.5
"s237"	4721.72	-1351.7
"s241"	4607.14	-1336
"s254"	4222.32	-761.15
"s295"	4685.65	-1042.1
"s307"	3950.32	-602.98
"s393"	5669.27	-1609.4
