"cell_ID"	"X"	"Y"
"s37"	618.2	-894.7
"s40"	565.4	-421.27
"s42"	531.9	-1069
"s43"	460.6	-426.59
"s45"	359.3	-782.61
"s51"	1924.97	-855.84
"s100"	1142.25	-446.9
"s118"	270	-1383.3
"s137"	3492.02	-1675.2
"s160"	2856.53	-451.05
"s171"	2657.27	-397.93
"s193"	2414.97	-1021.7
"s202"	2309.97	-1687.2
"s245"	4483.3	-1047.9
"s257"	4158.92	-800.37
"s283"	5297.77	-707.72
"s288"	5101.7	-633.05
"s298"	4570.03	-756.36
"s326"	6709.27	-854.93
"s336"	6525.94	-877.47
"s340"	6474.36	-1715.2
"s347"	6336.58	-1441.5
"s358"	6246.83	-475.36
"s424"	7530.35	184.72
"s427"	7461.32	-58.0799999999999
"s459"	6690.27	1077.03
"s460"	6669.17	-19.48
"s487"	7384.47	500.31
"s491"	7237.37	200.32
"s505"	6290.07	-200.78
"s512"	7406.31	1036.95
