"cell_ID"	"FOV"	"cell_type"
"s1"	0	"L2/3 eNeuron"
"s2"	0	"L2/3 eNeuron"
"s3"	0	"L2/3 eNeuron"
"s5"	0	"L2/3 eNeuron"
"s7"	0	"L2/3 eNeuron"
"s9"	0	"L2/3 eNeuron"
"s10"	0	"L2/3 eNeuron"
"s11"	0	"L2/3 eNeuron"
"s12"	0	"L2/3 eNeuron"
"s14"	0	"L2/3 eNeuron"
"s15"	0	"L2/3 eNeuron"
"s17"	0	"L2/3 eNeuron"
"s18"	0	"L2/3 eNeuron"
"s20"	0	"L2/3 eNeuron"
"s21"	0	"L2/3 eNeuron"
"s25"	0	"L2/3 eNeuron"
"s27"	0	"L2/3 eNeuron"
"s28"	0	"L2/3 eNeuron"
"s29"	0	"L2/3 eNeuron"
"s30"	0	"L2/3 eNeuron"
"s31"	0	"L2/3 eNeuron"
"s32"	0	"L2/3 eNeuron"
"s33"	0	"L2/3 eNeuron"
"s34"	0	"L2/3 eNeuron"
"s39"	0	"L2/3 eNeuron"
"s52"	0	"L2/3 eNeuron"
"s53"	0	"L2/3 eNeuron"
"s56"	0	"L2/3 eNeuron"
"s57"	0	"L2/3 eNeuron"
"s58"	0	"L2/3 eNeuron"
"s59"	0	"L2/3 eNeuron"
"s61"	0	"L2/3 eNeuron"
"s63"	0	"L2/3 eNeuron"
"s67"	0	"L2/3 eNeuron"
"s68"	0	"L2/3 eNeuron"
"s69"	0	"L2/3 eNeuron"
"s70"	0	"L2/3 eNeuron"
"s71"	0	"L2/3 eNeuron"
"s72"	0	"L2/3 eNeuron"
"s73"	0	"L2/3 eNeuron"
"s74"	0	"L2/3 eNeuron"
"s75"	0	"L2/3 eNeuron"
"s76"	0	"L2/3 eNeuron"
"s77"	0	"L2/3 eNeuron"
"s78"	0	"L2/3 eNeuron"
"s79"	0	"L2/3 eNeuron"
"s80"	0	"L2/3 eNeuron"
"s81"	0	"L2/3 eNeuron"
"s83"	0	"L2/3 eNeuron"
"s84"	0	"L2/3 eNeuron"
"s85"	0	"L2/3 eNeuron"
"s88"	0	"L2/3 eNeuron"
"s91"	0	"L2/3 eNeuron"
"s92"	0	"L2/3 eNeuron"
"s93"	0	"L2/3 eNeuron"
"s95"	0	"L2/3 eNeuron"
"s97"	0	"L2/3 eNeuron"
"s98"	0	"L2/3 eNeuron"
"s99"	0	"L2/3 eNeuron"
"s101"	0	"L2/3 eNeuron"
"s103"	0	"L2/3 eNeuron"
"s108"	0	"L2/3 eNeuron"
"s109"	0	"L2/3 eNeuron"
"s111"	0	"L2/3 eNeuron"
"s112"	0	"L2/3 eNeuron"
"s113"	0	"L2/3 eNeuron"
"s115"	0	"L2/3 eNeuron"
"s121"	1	"L2/3 eNeuron"
"s195"	1	"L2/3 eNeuron"
"s214"	1	"L2/3 eNeuron"
"s215"	1	"L2/3 eNeuron"
"s368"	3	"L2/3 eNeuron"
"s396"	3	"L2/3 eNeuron"
"s411"	3	"L2/3 eNeuron"
