"cell_ID"	"FOV"	"cell_type"
"s23"	0	"endothelial"
"s44"	0	"endothelial"
"s87"	0	"endothelial"
"s116"	0	"endothelial"
"s117"	0	"endothelial"
"s126"	1	"endothelial"
"s155"	1	"endothelial"
"s168"	1	"endothelial"
"s178"	1	"endothelial"
"s198"	1	"endothelial"
"s206"	1	"endothelial"
"s213"	1	"endothelial"
"s221"	1	"endothelial"
"s227"	2	"endothelial"
"s253"	2	"endothelial"
"s264"	2	"endothelial"
"s266"	2	"endothelial"
"s290"	2	"endothelial"
"s297"	2	"endothelial"
"s315"	2	"endothelial"
"s319"	3	"endothelial"
"s354"	3	"endothelial"
"s362"	3	"endothelial"
"s380"	3	"endothelial"
"s385"	3	"endothelial"
"s399"	3	"endothelial"
"s408"	3	"endothelial"
"s430"	4	"endothelial"
"s433"	4	"endothelial"
"s438"	4	"endothelial"
"s443"	4	"endothelial"
"s456"	4	"endothelial"
"s462"	4	"endothelial"
