"cell_ID"	"FOV"	"cell_type"
"s1"	0	"D"
"s2"	0	"D"
"s3"	0	"D"
"s4"	0	"D"
"s5"	0	"D"
"s6"	0	"D"
"s7"	0	"D"
"s8"	0	"D"
"s9"	0	"D"
"s10"	0	"D"
"s11"	0	"D"
"s12"	0	"D"
"s13"	0	"D"
"s14"	0	"D"
"s15"	0	"D"
"s16"	0	"D"
"s17"	0	"D"
"s18"	0	"D"
"s19"	0	"D"
"s20"	0	"D"
"s21"	0	"D"
"s22"	0	"D"
"s23"	0	"D"
"s24"	0	"D"
"s25"	0	"D"
"s26"	0	"D"
"s27"	0	"D"
"s28"	0	"D"
"s29"	0	"D"
"s30"	0	"D"
"s31"	0	"D"
"s32"	0	"D"
"s33"	0	"D"
"s34"	0	"D"
"s35"	0	"D"
"s36"	0	"D"
"s37"	0	"D"
"s38"	0	"D"
"s39"	0	"D"
"s40"	0	"D"
"s41"	0	"D"
"s42"	0	"D"
"s43"	0	"D"
"s44"	0	"D"
"s45"	0	"D"
"s46"	0	"D"
"s47"	0	"D"
"s48"	0	"D"
"s49"	0	"D"
"s50"	0	"D"
"s51"	0	"D"
"s52"	0	"D"
"s53"	0	"D"
"s54"	0	"D"
"s55"	0	"D"
"s56"	0	"D"
"s57"	0	"D"
"s58"	0	"D"
"s59"	0	"D"
"s60"	0	"D"
"s61"	0	"D"
"s62"	0	"D"
"s63"	0	"D"
"s64"	0	"D"
"s65"	0	"D"
"s66"	0	"D"
"s67"	0	"D"
"s68"	0	"D"
"s69"	0	"D"
"s70"	0	"D"
"s71"	0	"D"
"s72"	0	"D"
"s73"	0	"D"
"s74"	0	"D"
"s75"	0	"D"
"s76"	0	"D"
"s77"	0	"D"
"s78"	0	"D"
"s79"	0	"D"
"s80"	0	"D"
"s81"	0	"D"
"s82"	0	"D"
"s83"	0	"D"
"s84"	0	"D"
"s85"	0	"D"
"s86"	0	"D"
"s87"	0	"D"
"s88"	0	"D"
"s89"	0	"D"
"s90"	0	"D"
"s91"	0	"D"
"s92"	0	"D"
"s93"	0	"D"
"s94"	0	"D"
"s95"	0	"D"
"s96"	0	"D"
"s97"	0	"D"
"s98"	0	"D"
"s99"	0	"D"
"s100"	0	"D"
"s101"	0	"D"
"s102"	0	"D"
"s103"	0	"D"
"s104"	0	"D"
"s105"	0	"D"
"s106"	0	"D"
"s107"	0	"D"
"s108"	0	"D"
"s109"	0	"D"
"s110"	0	"D"
"s111"	0	"D"
"s112"	0	"D"
"s113"	0	"D"
"s114"	0	"D"
"s115"	0	"D"
"s116"	0	"D"
"s117"	0	"D"
"s118"	0	"D"
"s119"	1	"D"
"s120"	1	"D"
"s121"	1	"D"
"s122"	1	"D"
"s123"	1	"D"
"s124"	1	"D"
"s125"	1	"D"
"s126"	1	"D"
"s127"	1	"D"
"s128"	1	"D"
"s129"	1	"D"
"s130"	1	"D"
"s131"	1	"D"
"s132"	1	"D"
"s133"	1	"D"
"s134"	1	"D"
"s135"	1	"A"
"s136"	1	"D"
"s137"	1	"D"
"s138"	1	"A"
"s139"	1	"D"
"s140"	1	"D"
"s141"	1	"D"
"s142"	1	"D"
"s143"	1	"D"
"s144"	1	"D"
"s145"	1	"D"
"s146"	1	"D"
"s147"	1	"D"
"s148"	1	"D"
"s149"	1	"D"
"s150"	1	"D"
"s151"	1	"D"
"s152"	1	"D"
"s153"	1	"D"
"s154"	1	"D"
"s155"	1	"D"
"s156"	1	"D"
"s157"	1	"D"
"s158"	1	"D"
"s159"	1	"D"
"s160"	1	"D"
"s161"	1	"D"
"s162"	1	"D"
"s163"	1	"D"
"s164"	1	"D"
"s165"	1	"D"
"s166"	1	"D"
"s167"	1	"D"
"s168"	1	"D"
"s169"	1	"D"
"s170"	1	"D"
"s171"	1	"D"
"s172"	1	"D"
"s173"	1	"D"
"s174"	1	"D"
"s175"	1	"D"
"s176"	1	"D"
"s177"	1	"D"
"s178"	1	"D"
"s179"	1	"D"
"s180"	1	"D"
"s181"	1	"D"
"s182"	1	"D"
"s183"	1	"D"
"s184"	1	"D"
"s185"	1	"D"
"s186"	1	"D"
"s187"	1	"D"
"s188"	1	"D"
"s189"	1	"D"
"s190"	1	"D"
"s191"	1	"D"
"s192"	1	"D"
"s193"	1	"D"
"s194"	1	"D"
"s195"	1	"D"
"s196"	1	"D"
"s197"	1	"D"
"s198"	1	"D"
"s199"	1	"D"
"s200"	1	"D"
"s201"	1	"D"
"s202"	1	"D"
"s203"	1	"D"
"s204"	1	"D"
"s205"	1	"D"
"s206"	1	"D"
"s207"	1	"D"
"s208"	1	"D"
"s209"	1	"D"
"s210"	1	"D"
"s211"	1	"D"
"s212"	1	"D"
"s213"	1	"D"
"s214"	1	"D"
"s215"	1	"D"
"s216"	1	"D"
"s217"	1	"D"
"s218"	1	"D"
"s219"	1	"D"
"s220"	1	"D"
"s221"	1	"D"
"s222"	1	"D"
"s223"	1	"D"
"s224"	1	"D"
"s225"	1	"D"
"s226"	1	"D"
"s227"	2	"D"
"s228"	2	"A"
"s229"	2	"A"
"s230"	2	"A"
"s231"	2	"A"
"s232"	2	"A"
"s233"	2	"B"
"s234"	2	"A"
"s235"	2	"A"
"s236"	2	"A"
"s237"	2	"D"
"s238"	2	"B"
"s239"	2	"B"
"s240"	2	"D"
"s241"	2	"D"
"s242"	2	"A"
"s243"	2	"A"
"s244"	2	"A"
"s245"	2	"D"
"s246"	2	"D"
"s247"	2	"B"
"s248"	2	"B"
"s249"	2	"B"
"s250"	2	"A"
"s251"	2	"A"
"s252"	2	"A"
"s253"	2	"D"
"s254"	2	"D"
"s255"	2	"B"
"s256"	2	"A"
"s257"	2	"D"
"s258"	2	"A"
"s259"	2	"A"
"s260"	2	"A"
"s261"	2	"D"
"s262"	2	"A"
"s263"	2	"A"
