"cell_ID"	"FOV"	"cell_type"
"s233"	2	"L6 eNeuron"
"s238"	2	"L6 eNeuron"
"s239"	2	"L6 eNeuron"
"s247"	2	"L6 eNeuron"
"s248"	2	"L6 eNeuron"
"s249"	2	"L6 eNeuron"
"s255"	2	"L6 eNeuron"
"s273"	2	"L6 eNeuron"
"s276"	2	"L6 eNeuron"
"s277"	2	"L6 eNeuron"
"s287"	2	"L6 eNeuron"
"s289"	2	"L6 eNeuron"
"s291"	2	"L6 eNeuron"
"s309"	2	"L6 eNeuron"
"s312"	2	"L6 eNeuron"
"s317"	3	"L6 eNeuron"
"s320"	3	"L6 eNeuron"
"s321"	3	"L6 eNeuron"
"s322"	3	"L6 eNeuron"
"s323"	3	"L6 eNeuron"
"s324"	3	"L6 eNeuron"
"s325"	3	"L6 eNeuron"
"s327"	3	"L6 eNeuron"
"s329"	3	"L6 eNeuron"
"s333"	3	"L6 eNeuron"
"s335"	3	"L6 eNeuron"
"s337"	3	"L6 eNeuron"
"s338"	3	"L6 eNeuron"
"s339"	3	"L6 eNeuron"
"s342"	3	"L6 eNeuron"
"s344"	3	"L6 eNeuron"
"s346"	3	"L6 eNeuron"
"s348"	3	"L6 eNeuron"
"s349"	3	"L6 eNeuron"
"s351"	3	"L6 eNeuron"
"s352"	3	"L6 eNeuron"
"s353"	3	"L6 eNeuron"
"s355"	3	"L6 eNeuron"
"s356"	3	"L6 eNeuron"
"s360"	3	"L6 eNeuron"
"s363"	3	"L6 eNeuron"
"s364"	3	"L6 eNeuron"
"s365"	3	"L6 eNeuron"
"s366"	3	"L6 eNeuron"
"s370"	3	"L6 eNeuron"
"s371"	3	"L6 eNeuron"
"s372"	3	"L6 eNeuron"
"s375"	3	"L6 eNeuron"
"s376"	3	"L6 eNeuron"
"s377"	3	"L6 eNeuron"
"s378"	3	"L6 eNeuron"
"s379"	3	"L6 eNeuron"
"s381"	3	"L6 eNeuron"
"s383"	3	"L6 eNeuron"
"s384"	3	"L6 eNeuron"
"s386"	3	"L6 eNeuron"
"s387"	3	"L6 eNeuron"
"s388"	3	"L6 eNeuron"
"s389"	3	"L6 eNeuron"
"s390"	3	"L6 eNeuron"
"s391"	3	"L6 eNeuron"
"s400"	3	"L6 eNeuron"
"s402"	3	"L6 eNeuron"
"s403"	3	"L6 eNeuron"
"s405"	3	"L6 eNeuron"
"s406"	3	"L6 eNeuron"
"s409"	3	"L6 eNeuron"
"s413"	3	"L6 eNeuron"
"s414"	3	"L6 eNeuron"
"s417"	3	"L6 eNeuron"
"s419"	3	"L6 eNeuron"
"s420"	3	"L6 eNeuron"
"s421"	3	"L6 eNeuron"
"s436"	4	"L6 eNeuron"
"s437"	4	"L6 eNeuron"
"s439"	4	"L6 eNeuron"
"s440"	4	"L6 eNeuron"
"s441"	4	"L6 eNeuron"
"s442"	4	"L6 eNeuron"
"s444"	4	"L6 eNeuron"
"s445"	4	"L6 eNeuron"
"s446"	4	"L6 eNeuron"
"s450"	4	"L6 eNeuron"
"s452"	4	"L6 eNeuron"
"s454"	4	"L6 eNeuron"
"s455"	4	"L6 eNeuron"
"s457"	4	"L6 eNeuron"
"s458"	4	"L6 eNeuron"
"s463"	4	"L6 eNeuron"
"s464"	4	"L6 eNeuron"
"s465"	4	"L6 eNeuron"
"s466"	4	"L6 eNeuron"
"s468"	4	"L6 eNeuron"
"s470"	4	"L6 eNeuron"
"s471"	4	"L6 eNeuron"
"s472"	4	"L6 eNeuron"
"s474"	4	"L6 eNeuron"
"s475"	4	"L6 eNeuron"
"s476"	4	"L6 eNeuron"
"s477"	4	"L6 eNeuron"
"s478"	4	"L6 eNeuron"
"s483"	4	"L6 eNeuron"
"s489"	4	"L6 eNeuron"
"s492"	4	"L6 eNeuron"
"s493"	4	"L6 eNeuron"
"s495"	4	"L6 eNeuron"
"s497"	4	"L6 eNeuron"
"s498"	4	"L6 eNeuron"
"s499"	4	"L6 eNeuron"
"s501"	4	"L6 eNeuron"
"s502"	4	"L6 eNeuron"
"s503"	4	"L6 eNeuron"
"s504"	4	"L6 eNeuron"
"s508"	4	"L6 eNeuron"
"s511"	4	"L6 eNeuron"
"s513"	4	"L6 eNeuron"
"s514"	4	"L6 eNeuron"
"s515"	4	"L6 eNeuron"
"s518"	4	"L6 eNeuron"
"s519"	4	"L6 eNeuron"
"s520"	4	"L6 eNeuron"
"s521"	4	"L6 eNeuron"
"s522"	4	"L6 eNeuron"
"s523"	4	"L6 eNeuron"
