"Gene symbol","Cluster number"
"Fam135a","1"
"Col19a1","1"
"Rpl31","1"
"Col3a1","1"
"Fam117b","1"
"Nrp2","1"
"Bcs1l","1"
"Ilkap","1"
"Snrpe","1"
"Fam20b","1"
"Vamp4","1"
"Mpzl1","1"
"Pbx1","1"
"Lbr","1"
"Capn2","1"
"Dusp10","1"
"Meig1","1"
"Mrc1","1"
"Commd3","1"
"Nsmf","1"
"Man1b1","1"
"Rpl7a","1"
"Psmb7","1"
"Galnt3","1"
"Serping1","1"
"Prg2","1"
"Ptprj","1"
"Slc35c1","1"
"Hdc","1"
"Tgm6","1"
"Chmp4b","1"
"Dynlrb1","1"
"Osbpl2","1"
"Anxa5","1"
"Foxo1","1"
"Postn","1"
"4930593A02Rik","1"
"Ssr3","1"
"Plrg1","1"
"Eif4e","1"
"Trp53inp1","1"
"Manea","1"
"Dctn3","1"
"Slc44a1","1"
"Skint1","1"
"Mtf1","1"
"Ptp4a2","1"
"Snrnp40","1"
"Mtfr1l","1"
"Park7","1"
"Sdf4","1"
"Cenpa","1"
"Ost4","1"
"Ywhah","1"
"Sh3tc1","1"
"C1qtnf7","1"
"Apbb2","1"
"Grsf1","1"
"Parm1","1"
"Ccni","1"
"Tpst2","1"
"Suds3","1"
"Polr2j","1"
"Col1a2","1"
"Tspan12","1"
"Atp6v1f","1"
"Rarres2","1"
"Tmem176b","1"
"Plekha8","1"
"Vopp1","1"
"Immt","1"
"Usp39","1"
"Slc25a26","1"
"Cd69","1"
"Arhgdib","1"
"Strap","1"
"Ptprh","1"
"Ap2s1","1"
"Snrpd2","1"
"Shkbp1","1"
"Psmc4","1"
"Zfp36","1"
"Cox6b1","1"
"Fxyd3","1"
"Gramd1a","1"
"Dlg2","1"
"Serpinh1","1"
"Eif4g2","1"
"1110004F10Rik","1"
"Ubfd1","1"
"Kat8","1"
"Itgam","1"
"Htra1","1"
"Ptpre","1"
"Tmco3","1"
"Calr","1"
"Thap11","1"
"Plcg2","1"
"Tmem123","1"
"Tyk2","1"
"Ap1m2","1"
"Rpusd4","1"
"Tbrg1","1"
"Hyou1","1"
"Rexo2","1"
"Idh3a","1"
"Ibtk","1"
"Cdv3","1"
"Impdh2","1"
"Pdcd6ip","1"
"Stxbp5","1"
"Med23","1"
"Ranbp2","1"
"Hk1","1"
"Ado","1"
"Mif","1"
"Abca7","1"
"Tcf3","1"
"Oaz1","1"
"Dctn2","1"
"Erbb3","1"
"Uqcr10","1"
"Grb10","1"
"Srebf1","1"
"Map2k3","1"
"Cdrt4","1"
"Rangrf","1"
"Tekt1","1"
"Tsr1","1"
"Myo1c","1"
"Blmh","1"
"Tmem98","1"
"Fndc8","1"
"Gdpd1","1"
"Tob1","1"
"Spop","1"
"Stac2","1"
"Ccdc43","1"
"Laptm4a","1"
"Snx13","1"
"Agr3","1"
"Agr2","1"
"Tmem30b","1"
"Erh","1"
"Degs2","1"
"Mtr","1"
"Dusp22","1"
"Txndc15","1"
"Hnrnpa0","1"
"Cox7c","1"
"Prkcd","1"
"Supt16","1"
"Cryl1","1"
"Micu2","1"
"Esd","1"
"Gpc6","1"
"Tm9sf2","1"
"Nadk2","1"
"Stk3","1"
"Ywhaz","1"
"Ndufb9","1"
"Eef1d","1"
"Cyc1","1"
"Rpl3","1"
"Rrp7a","1"
"Parvb","1"
"Creld2","1"
"Tubgcp6","1"
"Ccnt1","1"
"Tuba1c","1"
"Pmm2","1"
"Pi4ka","1"
"Iglc2","1"
"Tbccd1","1"
"Eif4a2","1"
"Cep19","1"
"B4galt4","1"
"Zfp944","1"
"Ergic1","1"
"Cd320","1"
"H2-T22","1"
"Ppp1r11","1"
"Pla2g7","1"
"Mrps18a","1"
"Ticam1","1"
"Birc6","1"
"Sil1","1"
"Mzb1","1"
"Tnfaip8","1"
"Csnk1a1","1"
"Impa2","1"
"Mbd2","1"
"Aip","1"
"Pacs1","1"
"Tmem258","1"
"Anxa1","1"
"Zfand5","1"
"1110059E24Rik","1"
"Lipo1","1"
"Ankrd22","1"
"Tm9sf3","1"
"Ldb1","1"
"Taf5","1"
"Upf3b","1"
"Gpc3","1"
"Cd99l2","1"
"Ssr4","1"
"Pbdc1","1"
"Prdx4","1"
"Piga","1"
"mt-Nd5","1"
"Col5a2","2"
"Sf3b1","2"
"Casp8","2"
"Fastkd2","2"
"Cul3","2"
"Cab39","2"
"Tsn","2"
"Ptpn4","2"
"Tpr","2"
"Ivns1abp","2"
"Smg7","2"
"Cacna1e","2"
"Cox20","2"
"Dtl","2"
"Hspa14","2"
"Bend7","2"
"Ccdc3","2"
"Dnajc1","2"
"Gpr158","2"
"Rapgef1","2"
"Gsn","2"
"A430018G15Rik","2"
"Upp2","2"
"Cers6","2"
"Spc25","2"
"Nfe2l2","2"
"Cwc22","2"
"Dgkz","2"
"Pamr1","2"
"Mavs","2"
"Smox","2"
"Zhx3","2"
"Cse1l","2"
"Atp9a","2"
"Fndc3b","2"
"Fxr1","2"
"Mgst2","2"
"Ufm1","2"
"Tm4sf1","2"
"Ssr2","2"
"Snx27","2"
"Pogz","2"
"Setdb1","2"
"Aph1a","2"
"Gpr89","2"
"Hsd3b3","2"
"Hipk1","2"
"Lrig2","2"
"Ampd2","2"
"Arhgap29","2"
"Papss1","2"
"Gbp2","2"
"Cth","2"
"Ggh","2"
"Rraga","2"
"Leprot","2"
"Cdkn2c","2"
"Gpbp1l1","2"
"Zmym4","2"
"Smim12","2"
"Phactr4","2"
"Tmem222","2"
"Sdhb","2"
"Pdpn","2"
"Tardbp","2"
"Rere","2"
"Mib2","2"
"Atad3a","2"
"Krit1","2"
"6030443J06Rik","2"
"Lmbr1","2"
"Maea","2"
"Htra3","2"
"Grpel1","2"
"Smim14","2"
"Anxa3","2"
"Sec31a","2"
"Sart3","2"
"Rplp0","2"
"Ptpn11","2"
"Aldh2","2"
"Tmem248","2"
"Gtf2i","2"
"Ppp1r35","2"
"Lamtor4","2"
"Gna12","2"
"Rac1","2"
"Lnx2","2"
"2610001J05Rik","2"
"Gcc1","2"
"Cct7","2"
"Pcbp1","2"
"Foxp1","2"
"Arl8b","2"
"Zfp422","2"
"Adipor2","2"
"Fbxl14","2"
"Usp5","2"
"Slc1a5","2"
"Rps19","2"
"Dll3","2"
"Sycn","2"
"Uri1","2"
"Irf3","2"
"Ruvbl2","2"
"Dbp","2"
"Nomo1","2"
"Klhl25","2"
"Idh2","2"
"Zfp592","2"
"Aamdc","2"
"Lipt2","2"
"Mrpl48","2"
"Pgap2","2"
"Ampd3","2"
"Prr14","2"
"Hsd3b7","2"
"Zfp358","2"
"Col4a1","2"
"Gsr","2"
"Slc25a4","2"
"Dctd","2"
"Upf1","2"
"Jund","2"
"Plvap","2"
"B3gnt3","2"
"Ier2","2"
"Heatr3","2"
"Bean1","2"
"Ap1g1","2"
"Aprt","2"
"Taf5l","2"
"Gucy1a2","2"
