"Gene symbol","Cluster number"
"Cox5b","1"
"Rpl31","1"
"Raph1","1"
"Acadl","1"
"Erbb4","1"
"Fn1","1"
"Rpl37a","1"
"Tns1","1"
"Arpc2","1"
"Zfp142","1"
"Cyp27a1","1"
"Serpine2","1"
"Pid1","1"
"Gli2","1"
"Ccnt2","1"
"Rab3gap1","1"
"C4bp","1"
"Mapkapk2","1"
"Adipor1","1"
"Lamc1","1"
"Qsox1","1"
"Prdx6","1"
"Ndufs2","1"
"Stam","1"
"Etl4","1"
"Arhgap21","1"
"Apbb1ip","1"
"Ssna1","1"
"Surf6","1"
"Sh3glb2","1"
"Hmcn2","1"
"Fibcd1","1"
"Fam102a","1"
"Dab2ip","1"
"Ndufa8","1"
"Ola1","1"
"Ttn","1"
"Dgkz","1"
"Hsd17b12","1"
"Fam98b","1"
"Ppp1r14d","1"
"Mga","1"
"Mall","1"
"Adam33","1"
"9630028H03Rik","1"
"Ndufaf5","1"
"H13","1"
"Gss","1"
"Fam83d","1"
"Serinc3","1"
"Ywhab","1"
"Vapb","1"
"Psma7","1"
"Pik3ca","1"
"Dnajc19","1"
"Atp11b","1"
"Rfxap","1"
"Arhgef26","1"
"Mfsd1","1"
"Hdgf","1"
"Lmna","1"
"Rit1","1"
"Tpm3","1"
"S100a6","1"
"Pogz","1"
"Psmd4","1"
"Mcl1","1"
"Adamtsl4","1"
"Hmgcs2","1"
"Hao2","1"
"Atp1a1","1"
"Rhoc","1"
"Rap1a","1"
"Gstm1","1"
"Ostc","1"
"Gbp3","1"
"Lmo4","1"
"Ddah1","1"
"Asph","1"
"Plekhf2","1"
"Slc35a1","1"
"Ndufb6","1"
"Bag1","1"
"Nol6","1"
"Tpm2","1"
"Alad","1"
"Tnc","1"
"Cdk5rap2","1"
"Psip1","1"
"Plin2","1"
"Leprot","1"
"Osbpl9","1"
"Skint3","1"
"Rps8","1"
"Psmb2","1"
"Khdrbs1","1"
"Mecr","1"
"Trnau1ap","1"
"Phactr4","1"
"Wdtc1","1"
"Cdc42","1"
"Ddost","1"
"Fbxo42","1"
"Pdpn","1"
"Plod1","1"
"Mmp23","1"
"Ube2j2","1"
"Fgl2","1"
"Reln","1"
"Agap3","1"
"Hadhb","1"
"Ost4","1"
"Clnk","1"
"Limch1","1"
"Ociad2","1"
"Pdgfra","1"
"Stbd1","1"
"Mrps18c","1"
"Ulk1","1"
"Ube3b","1"
"Sppl3","1"
"Tctn1","1"
"Cldn3","1"
"Ywhag","1"
"Pdgfa","1"
"Snx8","1"
"Eif3b","1"
"Chst12","1"
"Pdap1","1"
"Bud31","1"
"Atp5j2","1"
"Zkscan14","1"
"Katnal1","1"
"Arf5","1"
"Irf5","1"
"Podxl","1"
"Agk","1"
"Gimap8","1"
"Igf2bp3","1"
"Tra2a","1"
"Wipf3","1"
"Fam13a","1"
"Kdm3a","1"
"Tex261","1"
"Snrpg","1"
"Rpn1","1"
"Sec61a1","1"
"Fbln2","1"
"Frmd4b","1"
"Edem1","1"
"Thumpd3","1"
"Atg7","1"
"Zfp422","1"
"Foxj2","1"
"Emg1","1"
"Phb2","1"
"Atn1","1"
"Mlf2","1"
"Scnn1a","1"
"Gprc5a","1"
"Cmas","1"
"Myadm","1"
"Ppp6r1","1"
"Zc3h4","1"
"Irf2bp1","1"
"Snrpd2","1"
"Ceacam20","1"
"Zfp568","1"
"Fxyd3","1"
"Tshz3","1"
"Rps11","1"
"Fut2","1"
"Mfge8","1"
"Pde8a","1"
"Homer2","1"
"Ndufc2","1"
"Rps3","1"
"Spcs2","1"
"Pde2a","1"
"Eif3f","1"
