"Gene symbol","Cluster number"
"Sf3b1","1"
"Fam117b","1"
"Sp110","1"
"Pou2f1","1"
"Hspa14","1"
"Bend7","1"
"Hnmt","1"
"Rapgef1","1"
"A430018G15Rik","1"
"Upp2","1"
"Qser1","1"
"Haus2","1"
"Mavs","1"
"Smox","1"
"Pxmp4","1"
"Snx21","1"
"Arhgef26","1"
"Pogz","1"
"Scnm1","1"
"Setdb1","1"
"Ahcyl1","1"
"Nbn","1"
"Cpne3","1"
"Rad23b","1"
"Itgb3bp","1"
"Leprot","1"
"Tmem222","1"
"Atad3a","1"
"Krit1","1"
"Lmbr1","1"
"Mapre3","1"
"Htt","1"
"Slain2","1"
"Lnx1","1"
"Clock","1"
"Ankrd17","1"
"Rassf6","1"
"Gtf2i","1"
"Gna12","1"
"N4bp2l1","1"
"Ptprz1","1"
"Gcc1","1"
"Grm7","1"
"Zfp422","1"
"Usp5","1"
"Sycn","1"
"Gys1","1"
"Dbp","1"
"Nomo1","1"
"Klhl25","1"
"Sec11a","1"
"Aamdc","1"
"Uvrag","1"
"Lipt2","1"
"Coa4","1"
"Dhx32","1"
"Micu3","1"
"Cnot7","1"
"Dctd","1"
"Atp13a1","1"
"Plvap","1"
"Heatr3","1"
"Ilf3","1"
"Ireb2","1"
"Rpl29","1"
"Rbm5","1"
"Stxbp5","1"
"Hmg20b","1"
"Ormdl2","1"
"Lgalsl","1"
"Xpo1","1"
"Cpeb4","1"
"Clk4","1"
"Hs3st3a1","1"
"Nlrp1b","1"
"Appbp2","1"
"Zfp652","1"
"Hexim1","1"
"Kansl1","1"
"Arl4a","1"
"Fntb","1"
"Flrt2","1"
"Mta1","1"
"Smim13","1"
"Faf2","1"
"Mxd3","1"
"Cast","1"
"Scamp1","1"
"Smn1","1"
"Paip1","1"
"Hmgcs1","1"
"Pdhb","1"
"Mettl17","1"
"Sap18","1"
"Mzt1","1"
"Atp6v1c1","1"
"Hsf1","1"
"Apobec3","1"
"Mgat3","1"
"Ndufa6","1"
"Fbln1","1"
"Chkb","1"
"Prkag1","1"
"Dnaja3","1"
"Ubn1","1"
"Fgf12","1"
"Ppard","1"
"Nrm","1"
"Dpy30","1"
"Csf1r","1"
"Gnal","1"
"Ppp6r3","1"
"Mrpl11","1"
"Drap1","1"
"Sf1","1"
"Polr2g","1"
"Myof","1"
"Mms19","1"
"R3hcc1l","1"
"Btrc","1"
"Taz","1"
"Rps4x","1"
"Atp7a","1"
"Morf4l2","1"
"Sgk3","2"
"Ccdc115","2"
"Eif5b","2"
"Pdcl3","2"
"Fhl2","2"
"Tpp2","2"
"Mob4","2"
"9130024F11Rik","2"
"Bmpr2","2"
"Abi2","2"
"Cd28","2"
"Glb1l","2"
"Ap1s3","2"
"Wdfy1","2"
"Col6a3","2"
"Pask","2"
"Hdlbp","2"
"Tsn","2"
"R3hdm1","2"
"Mapkapk2","2"
"Nucks1","2"
"Zc3h11a","2"
"Timm17a","2"
"Camsap2","2"
"B3galt2","2"
"Pla2g4a","2"
"Qsox1","2"
"Creg1","2"
"Tomm40l","2"
"B4galt3","2"
"Igsf8","2"
"Tagln2","2"
"Ahctf1","2"
"Brox","2"
"Smyd2","2"
"Rcor3","2"
"Fam171a1","2"
"Pnpla7","2"
"Sapcd2","2"
"Set","2"
"Pomt1","2"
"Rpl12","2"
"Mrrf","2"
"Orc4","2"
"Galnt3","2"
"Stk39","2"
"Ssb","2"
"Hoxd8","2"
"Plekha3","2"
"Dnajc10","2"
"Zc3h15","2"
"Ube2l6","2"
"Mtch2","2"
"Ndufs3","2"
"Ptpmt1","2"
"Psmc3","2"
"Acp2","2"
"Arfgap2","2"
"Ext2","2"
"Cd44","2"
"Hipk3","2"
"Eif3m","2"
"Kif18a","2"
"Nop10","2"
"Emc4","2"
"Bub1b","2"
"Knstrn","2"
"Tgm5","2"
"Eif3j1","2"
"Itpripl1","2"
"Snrnp200","2"
"Bub1","2"
"Rrbp1","2"
"Dtd1","2"
"Gzf1","2"
"Zfp120","2"
"Tbc1d20","2"
"Plagl2","2"
"Snta1","2"
"Trpc4ap","2"
"Ndrg3","2"
"Samhd1","2"
"Blcap","2"
"Ube2c","2"
"Slc9a8","2"
"Tshz2","2"
"Mrgbp","2"
"Arfgap1","2"
"Il7","2"
"Ythdf3","2"
"Pld1","2"
"Ccna2","2"
"Elf2","2"
"Ufm1","2"
"Dclk1","2"
"Mbnl1","2"
"Rrnad1","2"
"Rab25","2"
"Syt11","2"
"Dap3","2"
"Gba","2"
"Tpm3","2"
"Snapin","2"
"Psmb4","2"
"Tars2","2"
"Gstm1","2"
"Amigo1","2"
"Zzz3","2"
"Chchd7","2"
"Nsmaf","2"
"Plekhf2","2"
"Ripk2","2"
"Klhl32","2"
"Ankrd6","2"
"Aco1","2"
"Spink4","2"
"Dcaf12","2"
"Tln1","2"
"Baat","2"
"Mllt3","2"
"Pgm1","2"
"Cachd1","2"
"Jak1","2"
"Mier1","2"
"Dio1","2"
"Cpt2","2"
"Echdc2","2"
"Zyg11b","2"
"Akr1a1","2"
"Urod","2"
"Atp6v0b","2"
"Zfp691","2"
"Ybx1","2"
"Scmh1","2"
"Kcnq4","2"
"Smap2","2"
"Fhl3","2"
"Thrap3","2"
"Ak2","2"
"Tmem234","2"
"Mecr","2"
"Phactr4","2"
"Dnajc8","2"
"Wdtc1","2"
"Sfn","2"
"Ubxn11","2"
"Nipal3","2"
"Ephb2","2"
"Vps13d","2"
"Zfp933","2"
"2510039O18Rik","2"
"Ctnnbip1","2"
"Rere","2"
"A430005L14Rik","2"
"Pank4","2"
"Prkcz","2"
"Psmc2","2"
"Tomm7","2"
"Prkag2","2"
"Insig1","2"
"Cad","2"
"Eif2b4","2"
"Gpn1","2"
"Rnf4","2"
"Nop14","2"
"Dok7","2"
"Afap1","2"
"Evc2","2"
"Fbxl5","2"
"Dhx15","2"
"Pgm2","2"
"Gabrb1","2"
"Sult1d1","2"
"Grsf1","2"
"Mrpl1","2"
"Hnrnpdl","2"
"Mrps18c","2"
"Lrrc8d","2"
"Tgfbr3","2"
"Rpl5","2"
"Chek2","2"
"Pitpnb","2"
"2900026A02Rik","2"
"Usp30","2"
"Triap1","2"
"Hspb8","2"
"Rpl6","2"
"Trafd1","2"
"Ccdc63","2"
"Vps29","2"
"Gpn3","2"
"Atp2a2","2"
"Mrps17","2"
"Ywhag","2"
"Ap4m1","2"
"Cnpy4","2"
"Micall2","2"
"Ints1","2"
"Rac1","2"
"Eif2ak1","2"
"Trrap","2"
"Zkscan14","2"
"Rnf6","2"
"Rpl21","2"
"Ndufa4","2"
"Agbl3","2"
"1810058I24Rik","2"
"Trim24","2"
"Trbc1","2"
"Sval1","2"
"Snx10","2"
"Hoxa11os","2"
"Hibadh","2"
"Herc6","2"
"Fam13a","2"
"Tnip3","2"
"Tgoln1","2"
"Fam136a","2"
"Snrpg","2"
"Pcbp1","2"
"1600020E01Rik","2"
"Arhgap25","2"
"Aplf","2"
"Rpn1","2"
"Nup210","2"
"Mrps25","2"
"Magi1","2"
"Rpusd3","2"
"Brk1","2"
"Cxcl12","2"
"C3ar1","2"
"Tpi1","2"
"Zfp384","2"
"Ccnd2","2"
"Fkbp4","2"
"Klrb1c","2"
"Clec2d","2"
"Gucy2c","2"
"Stk38l","2"
"Rep15","2"
"U2af2","2"
"Napa","2"
"Zc3h4","2"
"Foxa3","2"
"Ercc1","2"
"Apoc2","2"
"Zfp180","2"
"Zfp60","2"
"Dll3","2"
"Nfkbib","2"
"Sirt2","2"
"Zfp84","2"
"Zfp568","2"
"Nfkbid","2"
"U2af1l4","2"
"Ffar2","2"
