"Gene symbol","Cluster number"
"Slc39a10","1"
"Fastkd2","1"
"Slc35f5","1"
"Prelp","1"
"Tstd1","1"
"Mndal","1"
"Sec61a2","1"
"Endog","1"
"Exosc2","1"
"Rabepk","1"
"Ndufa8","1"
"Nfe2l2","1"
"Sestd1","1"
"Kbtbd4","1"
"Trpm7","1"
"Tmem127","1"
"Ddrgk1","1"
"Gpcpd1","1"
"a","1"
"Scand1","1"
"Stx16","1"
"Npepl1","1"
"Naa15","1"
"Ssr2","1"
"Mtmr11","1"
"Gpr89","1"
"Camk2d","1"
"Prkacb","1"
"Dcaf12","1"
"Anp32b","1"
"Dio1","1"
"Prdx1","1"
"Sf3a3","1"
"Zc3h12a","1"
"Mtfr1l","1"
"Syf2","1"
"Sdf4","1"
"Pclo","1"
"Abcb8","1"
"Cad","1"
"Fgfbp1","1"
"0610040J01Rik","1"
"Rassf6","1"
"Mmab","1"
"Fbxw8","1"
"Aldh2","1"
"Tbl2","1"
"Alkbh4","1"
"Cdk8","1"
"Lnx2","1"
"Zfp777","1"
"Gars","1"
"Ppm1k","1"
"Cct7","1"
"Hmces","1"
"M6pr","1"
"Npas1","1"
"Ltbp4","1"
"Spint2","1"
"Cd22","1"
"Zfp141","1"
"Dbp","1"
"Adamts17","1"
"Ticrr","1"
"Clns1a","1"
"Arfip2","1"
"Cd2bp2","1"
"Mvb12a","1"
"Ndufb7","1"
"Ces1h","1"
"Slc7a6","1"
"Nob1","1"
"Chmp1a","1"
"Yipf2","1"
"Acp5","1"
"Acad8","1"
"C2cd2l","1"
"Bnip2","1"
"Slc17a5","1"
"Cox7a2","1"
"Pik3cb","1"
"Pccb","1"
"Apeh","1"
"Golga4","1"
"Ccr1","1"
"Rmnd1","1"
"Mknk2","1"
"Dot1l","1"
"Ncln","1"
"Tspan31","1"
"Smarcc2","1"
"Mtmr3","1"
"Rhbdd3","1"
"Xbp1","1"
"Fam161a","1"
"Usp32","1"
"Itga3","1"
"Zfp652","1"
"Npepps","1"
"Socs7","1"
"Becn1","1"
"Taco1","1"
"Sirt7","1"
"Rhob","1"
"Rnaseh1","1"
"Cog5","1"
"Tmx1","1"
"Wdr25","1"
"Auh","1"
"Nsa2","1"
"Kcnk5","1"
"Dnajc9","1"
"Btd","1"
"Ptpn20","1"
"Bmpr1a","1"
"Lrp10","1"
"Kpna3","1"
"Ccdc25","1"
"Ptp4a3","1"
"Gpaa1","1"
"Rpl8","1"
"Pim3","1"
"Zcrb1","1"
"Abcf3","1"
"Itgb5","1"
"Ndufb10","1"
"Mrps34","1"
"Rxrb","1"
"Skiv2l","1"
"Csnk2b","1"
"Zeb1","1"
"Wac","1"
"AW554918","1"
"Ube2d2a","1"
"Hars","1"
"Nfatc1","1"
"Cndp2","1"
"Coro1b","1"
"Ermp1","1"
"Bbip1","1"
"Uba1","1"
"Stag2","1"
"Dnase1l1","1"
"Nox1","1"
"Rai2","1"
"Eif4e2","2"
"Rnf152","2"
"Actr3","2"
"Phlda3","2"
"Xpr1","2"
"Atp1b1","2"
"Ttll11","2"
"Rpl35","2"
"Ppig","2"
"Ppp1r14d","2"
"Idh3b","2"
"Ctsa","2"
"Rnf114","2"
"Zbp1","2"
"Rpl22l1","2"
"Krtcap2","2"
"Pygo2","2"
"Ndufaf4","2"
"Ddx58","2"
"Exosc3","2"
"Plin2","2"
"Lrrc42","2"
"Pik3r3","2"
"Smap2","2"
"Ptpn12","2"
"Fastk","2"
"Hgfac","2"
"Ube2k","2"
"Cds1","2"
"Gfi1","2"
"Ep400","2"
"Tesc","2"
"Foxk1","2"
"Arpc1b","2"
"2610001J05Rik","2"
"Cadps2","2"
"Ahcyl2","2"
"Mkrn1","2"
"1700074P13Rik","2"
"Zyx","2"
"Edem1","2"
"Tpi1","2"
"Cops7a","2"
"Zfp384","2"
"Ccnd2","2"
"Cmas","2"
"Lrp3","2"
"Tbc1d17","2"
"Snrnp70","2"
"Mfge8","2"
"Dgat2","2"
"Arhgef17","2"
"Rpl27a","2"
"Uqcrc2","2"
"Zfp768","2"
"Sfrp1","2"
"N4bp1","2"
"Tox3","2"
"Zfp319","2"
"Nae1","2"
"Slc7a6os","2"
"Cdh1","2"
"Cep57","2"
"Cnn1","2"
"Zfp810","2"
"Vps26b","2"
"Tmprss4","2"
"Csk","2"
"Mthfs","2"
"Ryk","2"
"Srprb","2"
"Acpp","2"
