"Gene symbol","Cluster number"
"Ube2w","1"
"Eif4e2","1"
"Ndufa10","1"
"Rnf152","1"
"Slc35f5","1"
"Pbx1","1"
"Ncstn","1"
"Stam","1"
"Ralgps1","1"
"Rpl35","1"
"Mbd5","1"
"Ly75","1"
"Ccdc73","1"
"Nop10","1"
"Slc30a4","1"
"Commd7","1"
"Procr","1"
"Stau1","1"
"Nelfcd","1"
"Fxr1","1"
"Postn","1"
"Lxn","1"
"Tpm3","1"
"Plekho1","1"
"Unc5c","1"
"Exosc3","1"
"Stx17","1"
"Toe1","1"
"Psmb2","1"
"Fgl2","1"
"Ncapg","1"
"Tgfbr3","1"
"Rpl5","1"
"Znhit1","1"
"Eif3b","1"
"Slc25a13","1"
"Tes","1"
"1600020E01Rik","1"
"Rab43","1"
"Gt(ROSA)26Sor","1"
"Ndufa9","1"
"Klrd1","1"
"Klra7","1"
"Sae1","1"
"2200002D01Rik","1"
"Ppp4c","1"
"9430038I01Rik","1"
"Shank2","1"
"Rwdd4a","1"
"B3gnt3","1"
"Smad1","1"
"Bean1","1"
"Nae1","1"
"Mlkl","1"
"Rnf166","1"
"Cep57","1"
"Amotl1","1"
"Ldlr","1"
"Arhgef12","1"
"Phldb1","1"
"Zfp609","1"
"Twf2","1"
"Ccdc51","1"
"Slc35d3","1"
"Dse","1"
"Ctdsp2","1"
"Esyt1","1"
"Nudcd3","1"
"Gpx3","1"
"Slc36a1","1"
"Polr2a","1"
"Tmem256","1"
"Traf4","1"
"Hnf1b","1"
"Socs7","1"
"Eftud2","1"
"Efcab3","1"
"Hid1","1"
"Cdr2l","1"
"Myo15b","1"
"Tbc1d16","1"
"Eif4a3","1"
"Rfng","1"
"Lyrm4","1"
"Ofcc1","1"
"Jarid2","1"
"Rsl1","1"
"Edil3","1"
"Ssbp2","1"
"Rasgrf2","1"
"F2r","1"
"Hmgcs1","1"
"Ube2e1","1"
"Mustn1","1"
"Osgep","1"
"Spata13","1"
"Lcp1","1"
"Cox6c","1"
"Rims2","1"
"Gsdmd","1"
"Kdelr3","1"
"Pdgfb","1"
"Poldip3","1"
"Creld2","1"
"Gpd1","1"
"Eif2b5","1"
"Igf2r","1"
"Zfp53","1"
"Hspa1b","1"
"Tnfrsf21","1"
"Wdr33","1"
"Txnl1","1"
"Rps6kb2","1"
"Nudt22","1"
"Bbip1","1"
"Tbc1d25","1"
"Slc9a7","1"
"Htatsf1","1"
"Pls3","1"
"Tram1","2"
"Phlpp1","2"
"Snrpe","2"
"Ptprc","2"
"Aspm","2"
"Qsox1","2"
"Abl2","2"
"Nos1ap","2"
"Ifi205","2"
"Acbd3","2"
"Sde2","2"
"Fbxo28","2"
"Usp8","2"
"Snrnp200","2"
"Chgb","2"
"Crnkl1","2"
"Ralgapa2","2"
"Fitm2","2"
"Zbp1","2"
"Ctsz","2"
"E2f5","2"
"Sox2ot","2"
"Ccna2","2"
"Mrpl24","2"
"Rab25","2"
"Cks1b","2"
"Ensa","2"
"Strip1","2"
"Psma5","2"
"Vav3","2"
"Slc30a7","2"
"Acadm","2"
"Cryz","2"
"Ccnc","2"
"Aco1","2"
"Car9","2"
"Slc25a51","2"
"Trit1","2"
"Sf3a3","2"
"A630031M04Rik","2"
"Pigv","2"
"Pgd","2"
"B3galt6","2"
"Dmtf1","2"
"Pclo","2"
"Reln","2"
"Rbm33","2"
"Cenpa","2"
"Qdpr","2"
"Srp72","2"
"Tchp","2"
"Taok3","2"
"Abhd11","2"
"Nxpe5","2"
"Pds5b","2"
"Calu","2"
"Mkln1","2"
"Cycs","2"
"Snca","2"
"0610030E20Rik","2"
"Rpn1","2"
"D830050J10Rik","2"
"Usp5","2"
"Ceacam10","2"
"Akt2","2"
"Mrps12","2"
"Sirt2","2"
"Tmem147","2"
"Nudt19","2"
"Ctsc","2"
"Akip1","2"
"Mvp","2"
"Bag3","2"
"Ankrd10","2"
"Trappc11","2"
"Gtpbp3","2"
"Bst2","2"
"Rab8a","2"
"Mmaa","2"
"Atp6v0d1","2"
"Eif3g","2"
"Acad8","2"
"Paqr5","2"
"Arpp19","2"
"Morf4l1","2"
"Faim","2"
"Lrrfip2","2"
"Acaa1a","2"
"Plekhg1","2"
"Tab2","2"
"Ascc3","2"
"Psap","2"
"Misp","2"
"Kitl","2"
"Lyz1","2"
"Tbk1","2"
"R3hdm2","2"
"Adam19","2"
"Cxcl16","2"
"Unc119","2"
"Znhit3","2"
"Psmd3","2"
"Ccdc43","2"
"Ern1","2"
"Itgb4","2"
"Bahcc1","2"
"Pum2","2"
"Strn3","2"
"Fkbp3","2"
"Frmd6","2"
"Rtn1","2"
"Trmt5","2"
"Sgpp1","2"
"Coq6","2"
"Unc79","2"
"Pacs2","2"
"Cdyl","2"
"Nup153","2"
"Faf2","2"
"Nsd1","2"
"Utp15","2"
"Il6st","2"
"Top2b","2"
"Slc4a7","2"
"Tox4","2"
"Ipo4","2"
"Zdhhc20","2"
"Sub1","2"
"Polr2k","2"
"Smpd5","2"
"Lgals1","2"
"Zcrb1","2"
"Scaf11","2"
"Dip2b","2"
"Hnrnpa1","2"
"Alg1","2"
"Tmem186","2"
"Usp25","2"
"Tapbp","2"
"Brd2","2"
"Gabbr1","2"
"Cd2ap","2"
"Satb1","2"
"Ranbp3","2"
"Nlrc4","2"
"Fam98a","2"
"Npc1","2"
"Matr3","2"
"Ik","2"
"Rnmt","2"
"Rpl17","2"
"Socs6","2"
"Rnaseh2c","2"
"Malat1","2"
"Polr2g","2"
"Asrgl1","2"
"Entpd1","2"
"Frat2","2"
"Pdcd11","2"
"Mxi1","2"
"Hnrnph2","2"
"Frmpd4","2"
"Aamp","3"
"Adipor1","3"
"Gpa33","3"
"Parp1","3"
"Rapgef1","3"
"Rbm43","3"
"Impa1","3"
"Rab33b","3"
"Bche","3"
"Slc50a1","3"
"Csde1","3"
"Syt6","3"
"Mov10","3"
"Sort1","3"
"Gar1","3"
"Esrp1","3"
"Hsdl2","3"
"Rps6","3"
"Dio1","3"
"Akirin1","3"
"Wasf2","3"
"Alpl","3"
"Kmt2e","3"
"Slbp","3"
"Chek2","3"
"Diablo","3"
"Kcnd2","3"
"Lrrtm4","3"
"Snrpg","3"
"Tia1","3"
"Kdm5a","3"
"Itpr2","3"
"Kcnj14","3"
"Wdr73","3"
"Psma1","3"
"Hirip3","3"
"Terf2","3"
"Mlycd","3"
"Zdhhc7","3"
"Tomm20","3"
"Angptl6","3"
"Ecsit","3"
"Ei24","3"
"Edc3","3"
"Rpl4","3"
"Aldh1a2","3"
"Apeh","3"
"Cdc25a","3"
"Reep3","3"
"Susd2","3"
"Timp3","3"
"Cdk17","3"
"Mdm2","3"
"Mmp19","3"
"Tbrg4","3"
"Ugp2","3"
"Mdh1","3"
"Rtn4","3"
"Ccng1","3"
"Anxa6","3"
"Tmem11","3"
"Vezf1","3"
"Med24","3"
"Ace","3"
"Taco1","3"
"Pitpnc1","3"
"Pgs1","3"
"Baz1a","3"
"Gemin2","3"
"Hif1a","3"
"Zkscan3","3"
"Abt1","3"
"Ogn","3"
"Nsun2","3"
"Nudt13","3"
"Fam149b","3"
"Mrpl52","3"
"Arsa","3"
"Nell2","3"
"Slc11a2","3"
"Igfbp6","3"
"Mfsd5","3"
"Cluap1","3"
"Cpped1","3"
"Ydjc","3"
"Pdia5","3"
"Pknox1","3"
"Kifc1","3"
"H2-T23","3"
"Tbcc","3"
"Sult1c2","3"
"Epc1","3"
"Dtna","3"
"Map3k2","3"
"Frmd8","3"
"Cep78","3"
"Il1rapl1","3"
"mt-Cytb","3"
"Col9a1","4"
"Slc39a10","4"
"Dnah7a","4"
"Mob4","4"
"Casp8","4"
"Trmt1l","4"
"Tor1aip2","4"
"Mpc2","4"
"Tomm40l","4"
"Smyd3","4"
"Arrdc1","4"
"Tor4a","4"
"Traf2","4"
"Urm1","4"
"Crat","4"
"Exosc2","4"
"Swi5","4"
"Zeb2","4"
"Rbm45","4"
"Spint1","4"
"Bub1","4"
"Ddrgk1","4"
"Tasp1","4"
"Foxa2","4"
"B4galt5","4"
"Rnf114","4"
"Dap3","4"
"Jtb","4"
"Ttf2","4"
"Sike1","4"
"Gnai3","4"
"Dbt","4"
"Bank1","4"
"Gbp2","4"
"Lyn","4"
"Cdh17","4"
"Cpne3","4"
"Fkbp15","4"
"Ttc39b","4"
"Jun","4"
"Kcnq4","4"
"Smim12","4"
"Hmgcl","4"
"Necap2","4"
"Ddi2","4"
"2510039O18Rik","4"
"Psmc2","4"
"Rheb","4"
"Cgref1","4"
"Preb","4"
"Slc5a1","4"
"Lyar","4"
"Hopx","4"
"Ugt2b5","4"
"Btc","4"
"Sec31a","4"
"Tpst2","4"
"Sbds","4"
"Ephb4","4"
"Zan","4"
"Sdk1","4"
"Gstk1","4"
"Magohb","4"
"Tm7sf3","4"
"Trim28","4"
"Lig1","4"
"Strn4","4"
"Zfp94","4"
"Psmd8","4"
"Zfp84","4"
"Zdhhc13","4"
"Svip","4"
"Snrpa1","4"
"Clns1a","4"
"Uros","4"
"Zfp511","4"
"Hras","4"
"Pnpla2","4"
"Ctsd","4"
"Ttc29","4"
"Rbmxl1","4"
"Prdx2","4"
"Ces1f","4"
"Slc38a7","4"
"Edc4","4"
"Nudt7","4"
"Gcsh","4"
"Yap1","4"
"Nfrkb","4"
"Ets1","4"
"Rpusd4","4"
"Cbl","4"
"Bud13","4"
"Bco2","4"
"Pkm","4"
"Zfp949","4"
"Ctsh","4"
"Cyb561d2","4"
"Stx7","4"
"Lims1","4"
"Dna2","4"
"Sppl2b","4"
"Acyp2","4"
"Clk4","4"
"Tnip1","4"
"Zfp692","4"
"Drg2","4"
"Llgl1","4"
"Trappc1","4"
"Tmem98","4"
"Fndc8","4"
"Synrg","4"
"Dcaf7","4"
"Limd2","4"
"Adi1","4"
"Ppp2r5e","4"
"Rps6ka5","4"
"Gskip","4"
"Mark3","4"
"Esyt2","4"
"Larp4b","4"
"Epdr1","4"
"Mylk4","4"
"Cast","4"
"Pik3r1","4"
"Cadps","4"
"Zfp219","4"
"1700123O20Rik","4"
"Ints9","4"
"Esco2","4"
"Dach1","4"
"Ywhaz","4"
"Mtss1","4"
"Gsdmc4","4"
"Phf20l1","4"
"Puf60","4"
"Recql4","4"
"Rac2","4"
"Sh3bp1","4"
"Iglc2","4"
"Lsg1","4"
"Nr1i2","4"
"Adprh","4"
"Cd47","4"
"Pcnp","4"
"Trmt10c","4"
"Son","4"
"Snx9","4"
"Atp6v0c","4"
"Mapk8ip3","4"
"Bnip1","4"
"BC004004","4"
"Zfp870","4"
"Ehmt2","4"
"Dhx16","4"
"Trim26","4"
"Tmem63b","4"
"Rpl7l1","4"
"Sh3gl1","4"
"Fer","4"
"Dpy30","4"
"Birc6","4"
"Msh2","4"
"Mtpap","4"
"Zmat2","4"
"Eif1a","4"
"Ppp6r3","4"
"Syvn1","4"
"Fth1","4"
"Gna14","4"
"Pgm5","4"
"Sufu","4"
"Sfxn2","4"
"Pcsk1n","4"
"C1galt1c1","4"
"Xpnpep2","4"
"Xlr4b","4"
"Ikbkg","4"
"Cxcr3","4"
"Vcpip1","5"
"Tgfbrap1","5"
"Orc2","5"
"Rbm44","5"
"Zcchc2","5"
"Tmem63a","5"
"Smyd2","5"
"Mrps2","5"
"Ola1","5"
"Celf1","5"
"Cstf3","5"
"Kif18a","5"
"Mrps26","5"
"Slc23a2","5"
"Id1","5"
"Exosc8","5"
"Dclk1","5"
"Ppm1l","5"
"Mnd1","5"
"Lmna","5"
"Pogz","5"
"Ampd2","5"
"Ostc","5"
"Mrpl37","5"
"Yipf1","5"
"Smap2","5"
"Zbtb8os","5"
"Txlna","5"
"Mtfr1l","5"
"Fblim1","5"
"Ssu72","5"
"Abcb8","5"
"Paxip1","5"
"Krtcap3","5"
"Nelfa","5"
"Stim2","5"
"Vps33a","5"
"Arl6ip4","5"
"Cnpy4","5"
"Pms2","5"
"Atp5j2","5"
"Klhdc10","5"
"Tex261","5"
"Lsm3","5"
"Bid","5"
"Clec2d","5"
"Gucy2c","5"
"Tmc4","5"
"Zfp954","5"
"Zfp111","5"
"Psmc4","5"
"Bax","5"
"Lysmd4","5"
"Idh2","5"
"Crebzf","5"
"Pak1","5"
"Copb1","5"
"Mettl9","5"
"Tial1","5"
"Mob2","5"
"Cers4","5"
"Pik3r2","5"
"Babam1","5"
"Eps15l1","5"
"Smim7","5"
"Dnaja2","5"
"Got2","5"
"Pou2af1","5"
"Ptpn9","5"
"Tmed3","5"
"Trpc1","5"
"Tusc2","5"
"Ank3","5"
"Ckap4","5"
"Cdk4","5"
"Tspan31","5"
"Pex13","5"
"Bod1","5"
"Med7","5"
"Rmnd5b","5"
"Sec24a","5"
"Shmt1","5"
"Tvp23b","5"
"Pdk2","5"
"Osbpl7","5"
"Smarce1","5"
"Cyb561","5"
"Slc38a10","5"
"Alyref","5"
"Tex21","5"
"Atxn3","5"
"Tecpr2","5"
"Igha","5"
"Diras2","5"
"Zmiz1","5"
"Capn7","5"
"Sybu","5"
"Zfp707","5"
"Tmem184b","5"
"Desi1","5"
"Trabd","5"
"Sbf1","5"
"Larp4","5"
"Mzt2","5"
"Spice1","5"
"Tiam2","5"
"Mrpl18","5"
"Pkd1","5"
"Nfkbil1","5"
"Usp14","5"
"Ube2d2a","5"
"BC031181","5"
"Pias2","5"
"Zfp516","5"
"Otub1","5"
"Apba1","5"
"Minpp1","5"
"Btrc","5"
"Sorcs3","5"
"Nsdhl","5"
"Ssr4","5"
"Mecp2","5"
"Prps1","5"
"Acadl","6"
"Tfpi","6"
"Mccc1","6"
"Tiparp","6"
"Dclk2","6"
"Rfx5","6"
"Ube2j2","6"
"Afap1","6"
"Helq","6"
"Sfswap","6"
"Ywhag","6"
"Agfg2","6"
"Klrg1","6"
"Pih1d1","6"
"E2f8","6"
"Mrps11","6"
"Tmem208","6"
"Fem1b","6"
"Wdr82","6"
"Enpp1","6"
"Ddit3","6"
"Pold2","6"
"AI662270","6"
"Dcakd","6"
"Ankmy2","6"
"Ptgr2","6"
"Zfp839","6"
"Brf1","6"
"Gfm2","6"
"Psmb5","6"
"Cdca2","6"
"Samd12","6"
"Hsf1","6"
"Vps52","6"
"Osbp","6"
"Smc1a","6"
"Sulf1","7"
"Rpl7","7"
"Smap1","7"
"Fam135a","7"
"Dst","7"
"Mfsd9","7"
"Nop58","7"
"Ino80d","7"
"Fn1","7"
"Ankzf1","7"
"Resp18","7"
"C130026I21Rik","7"
"Sp110","7"
"2810459M11Rik","7"
"Ptma","7"
"Rnpepl1","7"
"Ing5","7"
"Serpinb5","7"
"Pigr","7"
"Ikbke","7"
"Mdm4","7"
"Ppp1r15b","7"
"Zc3h11a","7"
"Optc","7"
"Arl8a","7"
"Ivns1abp","7"
"1700025G04Rik","7"
"Smg7","7"
"Rabgap1l","7"
"Creg1","7"
"Nuf2","7"
"Tstd1","7"
"Nvl","7"
"Wdr26","7"
"Bpnt1","7"
"Cdc123","7"
"Sec61a2","7"
"Vim","7"
"Sardh","7"
"Tor1a","7"
"Ass1","7"
"Gsn","7"
"Ppp6c","7"
"Cd302","7"
"Hat1","7"
"Pdk1","7"
"Hoxd8","7"
"Ndufs3","7"
"Ptpmt1","7"
"Slc35c1","7"
"Trp53i11","7"
"Ttc17","7"
"Traf6","7"
"Fbxo3","7"
"Arhgap11a","7"
"Zfp770","7"
"Eif2ak4","7"
"Rad51","7"
"Trpm7","7"
"Tmem87b","7"
"Lzts3","7"
"Sdcbp2","7"
"Rbck1","7"
"Zcchc3","7"
"Pdrg1","7"
"Zfp341","7"
"Pigu","7"
"Blcap","7"
"Slc35c2","7"
"Cdh26","7"
"Dido1","7"
"Ythdf1","7"
"Arfgap1","7"
"Ppdpf","7"
"Polr3k","7"
"Hnf4g","7"
"Mrps28","7"
"Mrpl47","7"
"Dnajc19","7"
"Hspa4l","7"
"Supt20","7"
"Smc4","7"
"Plrg1","7"
"Ssr2","7"
"Mtx1","7"
"Efna4","7"
"4933434E20Rik","7"
"Nup210l","7"
"Slc39a1","7"
"S100a11","7"
"Them4","7"
"Gstm3","7"
"Gstm4","7"
"Dph5","7"
"Gclm","7"
"Pde5a","7"
"Adh5","7"
"Pkn2","7"
"Lmo4","7"
"Ssx2ip","7"
"Fubp1","7"
"Ggh","7"
"Lyrm2","7"
"Bag1","7"
"Nol6","7"
"Rpp25l","7"
"Cd72","7"
"Gba2","7"
"Anp32b","7"
"Erp44","7"
"Aldob","7"
"Ptpn3","7"
"D630039A03Rik","7"
"Cdc26","7"
"Dennd4c","7"
"Focad","7"
"Tusc1","7"
"Plaa","7"
"Tm2d1","7"
"Ttc4","7"
"Prpf38a","7"
"Tmem69","7"
"Prdx1","7"
"Tmem53","7"
"Atp6v0b","7"
