"Gene symbol","Cluster number"
"Ncoa2","1"
"Cab39","1"
"Ramp1","1"
"Nckap5","1"
"Sox13","1"
"Adipor1","1"
"Ptprc","1"
"Rgl1","1"
"Xpr1","1"
"Capn2","1"
"Camk1d","1"
"Surf1","1"
"Gpd2","1"
"Cd302","1"
"Kcnh7","1"
"Gorasp2","1"
"Ndufs3","1"
"Chp1","1"
"Tmem87b","1"
"Dtd1","1"
"Dynlrb1","1"
"Samhd1","1"
"Ctnnbl1","1"
"Ctsa","1"
"Gid8","1"
"Mecom","1"
"Plrg1","1"
"4933434E20Rik","1"
"Rps27","1"
"Mrpl9","1"
"Pogz","1"
"Hmgcs2","1"
"Hao2","1"
"Prpf38b","1"
"Vcam1","1"
"Cnn3","1"
"Arhgap29","1"
"Rap1gds1","1"
"Gbp3","1"
"Plekhf2","1"
"Plin2","1"
"Skint5","1"
"Sf3a3","1"
"Cyp51","1"
"0610040J01Rik","1"
"Ube2k","1"
"Ccni","1"
"Sec31a","1"
"Tesc","1"
"Zcchc8","1"
"Mkln1","1"
"Mkrn1","1"
"Skap2","1"
"Tax1bp1","1"
"Znrf2","1"
"Igkc","1"
"Capg","1"
"Antxr1","1"
"Apobec1","1"
"Zfp384","1"
"Kras","1"
"Epn1","1"
"Psmd8","1"
"Gpi1","1"
"Lsm14a","1"
"Nipa2","1"
"Arfip2","1"
"Itpripl2","1"
"Coro1a","1"
"Chid1","1"
"Lamp1","1"
"Fnta","1"
"Sh3rf1","1"
"Cope","1"
"Zfp961","1"
"Zfp319","1"
"4933408N05Rik","1"
"Atp2c2","1"
"Vps26b","1"
"St14","1"
"Stt3a","1"
"Slc37a2","1"
"Idh3a","1"
"Stoml1","1"
"Nptn","1"
"Sh3bgrl2","1"
"Atr","1"
"Ip6k2","1"
"Map7","1"
"Marcks","1"
"Gtf3c6","1"
"Nus1","1"
"Smarcb1","1"
"Polrmt","1"
"Ap3d1","1"
"Sgta","1"
"Chst11","1"
"Mgat4c","1"
"Ppfia2","1"
"Pik3ip1","1"
"Bod1","1"
"Canx","1"
"Mfap3","1"
"2310033P09Rik","1"
"Mprip","1"
"Gas7","1"
"Pigs","1"
"Itga3","1"
"Snx11","1"
"Nfe2l1","1"
"2610035D17Rik","1"
"Ten1","1"
"Tmc8","1"
"Slc25a10","1"
"Gps1","1"
"Kidins220","1"
"Sypl","1"
"Agmo","1"
"Npas3","1"
"Sptssa","1"
"Rpl36al","1"
"Fcf1","1"
"Otub2","1"
"Crip1","1"
"Irf4","1"
"Ranbp9","1"
"Atxn1","1"
"Spock1","1"
"Dapk1","1"
"Ccnh","1"
"Pdhb","1"
"Dlg5","1"
"Ccdc25","1"
"Gpr180","1"
"Dnajc3","1"
"Pabpc1","1"
"Tmem65","1"
"Hsf1","1"
"Cpsf1","1"
"Eif3d","1"
"Ankrd54","1"
"Pick1","1"
"Fbln1","1"
"Cdpf1","1"
"Plxnb2","1"
"Kif21a","1"
"Mrpl40","1"
"Parl","1"
"Chaf1b","1"
"Paqr4","1"
"Ube2i","1"
"Rgs11","1"
"Spdef","1"
"Tff3","1"
"Tapbp","1"
"Tubb5","1"
"Twsg1","1"
"Lbh","1"
"Mib1","1"
"Sil1","1"
"Hmgxb3","1"
"Rnmt","1"
"Smad4","1"
"BC031181","1"
"Mrpl11","1"
"Malat1","1"
"Neat1","1"
"Papss2","1"
"Nkx2-3","1"
"Tcf7l2","1"
"Gripap1","1"
"Ndufa1","1"
"Gria3","1"
"Arhgap6","1"
"Ddx3y","1"
"mt-Co3","1"
"Cul3","2"
"Ilkap","2"
"Serpinb5","2"
"Igsf8","2"
"Tagln2","2"
"Atp5c1","2"
"Fpgs","2"
"Rpl12","2"
"Ube2l6","2"
"Srp14","2"
"Ppp1r14d","2"
"Mfap1a","2"
"Rrbp1","2"
"Fkbp1a","2"
"Tbc1d20","2"
"Plcg1","2"
"Ube2c","2"
"Vapb","2"
"Tpd52","2"
"Ythdf3","2"
"Gyg","2"
"4930593A02Rik","2"
"Scamp3","2"
"S100a13","2"
"Psmb4","2"
"Psmd4","2"
"Tars2","2"
"Otud7b","2"
"Slc30a7","2"
"Metap1","2"
"Zranb2","2"
"Tmem59","2"
"Tspan1","2"
"Rps8","2"
"Ebna1bp2","2"
"Scmh1","2"
"Pank4","2"
"Psmc2","2"
"Med28","2"
"Pgm2","2"
"Srp72","2"
"Gfi1","2"
"Dgkq","2"
"Sart3","2"
"BC051077","2"
"Eif2b1","2"
"Mdh2","2"
"Lamtor4","2"
"Zkscan14","2"
"Rpia","2"
"Tgoln1","2"
"Rpn1","2"
"Mcm2","2"
"M6pr","2"
"Vasp","2"
"Rabac1","2"
"Rpl18","2"
"Herc2","2"
"Crebzf","2"
"Prcp","2"
"Rhog","2"
"Spon1","2"
"Eif3c","2"
"Cars2","2"
"Arhgap10","2"
"Farsa","2"
"Mt2","2"
"Mt1","2"
"Slc7a6os","2"
"Cdh1","2"
"Pdpr","2"
"Mlkl","2"
"Mlycd","2"
"Carm1","2"
"Tbrg1","2"
"Spg21","2"
"Grik2","2"
"Nrbf2","2"
"Rexo1","2"
"Nfyb","2"
"Tspan8","2"
"Grip1","2"
"Ptges3","2"
"C1d","2"
"Tenm2","2"
"Sparc","2"
"Naa38","2"
"Cldn7","2"
"Psmd11","2"
"Ccl8","2"
"Tada2a","2"
"Slc25a39","2"
"Eftud2","2"
"Ttyh2","2"
"Srsf2","2"
"Anapc11","2"
"Cpsf3","2"
"Ralgapa1","2"
"Slc38a6","2"
"Fam193b","2"
"Hnrnpa0","2"
"Hnrnpk","2"
"Oit1","2"
"Kpna3","2"
"Fdft1","2"
"Ccar2","2"
"C6","2"
"C1qtnf3","2"
"Eif3h","2"
"Chrac1","2"
"Ly6a","2"
"Rpl3","2"
"Tuba1c","2"
"Tra2b","2"
"Fgf12","2"
"Pigx","2"
"Cggbp1","2"
"Snhg9","2"
"Mapk8ip3","2"
"Nme4","2"
"Trim26","2"
"Epc1","2"
"Dtna","2"
"Seh1l","2"
"Mrpl21","2"
"Naa40","2"
"Snhg1","2"
"Nxf1","2"
"Mta2","2"
"Sdhaf2","2"
"AW112010","2"
"Ms4a8a","2"
"Sfr1","2"
"Trub1","2"
"Slc25a5","2"
"Emd","2"
"Slc25a53","2"
"mt-Cytb","2"
"Mybl1","3"
"Terf1","3"
"Fam168b","3"
"Raph1","3"
"Cyp27a1","3"
"Mapkapk2","3"
"Csrp1","3"
"Lamc1","3"
"Mpzl1","3"
"Pbx1","3"
"Pea15a","3"
"Hnrnpu","3"
"Rpl7a","3"
"Pbx3","3"
"Lrp1b","3"
"Ssrp1","3"
"Cd44","3"
"Fam98b","3"
"Ddrgk1","3"
"9630028H03Rik","3"
"Romo1","3"
"Atp9a","3"
"Anxa5","3"
"Mfsd1","3"
"Pear1","3"
"Rit1","3"
"Acadm","3"
"Ube2r2","3"
