"cell_ID" "FOV" "cell_types"
"cell_1" 0 "L2/3 eNeuron"
"cell_2" 0 "L2/3 eNeuron"
"cell_3" 0 "L2/3 eNeuron"
"cell_4" 0 "Lhx6 iNeuron"
"cell_5" 0 "L2/3 eNeuron"
"cell_6" 0 "Lhx6 iNeuron"
"cell_7" 0 "L2/3 eNeuron"
"cell_8" 0 "Adarb2 iNeuron"
"cell_9" 0 "L2/3 eNeuron"
"cell_10" 0 "L2/3 eNeuron"
"cell_11" 0 "L2/3 eNeuron"
"cell_12" 0 "L2/3 eNeuron"
"cell_13" 0 "microglia"
"cell_14" 0 "L2/3 eNeuron"
"cell_15" 0 "L2/3 eNeuron"
"cell_16" 0 "Lhx6 iNeuron"
"cell_17" 0 "L2/3 eNeuron"
"cell_18" 0 "L2/3 eNeuron"
"cell_19" 0 "microglia"
"cell_20" 0 "L2/3 eNeuron"
"cell_21" 0 "L2/3 eNeuron"
"cell_22" 0 "Lhx6 iNeuron"
"cell_23" 0 "endothelial"
"cell_24" 0 "Adarb2 iNeuron"
"cell_25" 0 "L2/3 eNeuron"
"cell_26" 0 "Adarb2 iNeuron"
"cell_27" 0 "L2/3 eNeuron"
"cell_28" 0 "L2/3 eNeuron"
"cell_29" 0 "L2/3 eNeuron"
"cell_30" 0 "L2/3 eNeuron"
"cell_31" 0 "L2/3 eNeuron"
"cell_32" 0 "L2/3 eNeuron"
"cell_33" 0 "L2/3 eNeuron"
"cell_34" 0 "L2/3 eNeuron"
"cell_35" 0 "mural"
"cell_36" 0 "Adarb2 iNeuron"
"cell_37" 0 "astrocytes"
"cell_38" 0 "OPC"
"cell_39" 0 "L2/3 eNeuron"
"cell_40" 0 "astrocytes"
"cell_41" 0 "Adarb2 iNeuron"
"cell_42" 0 "astrocytes"
"cell_43" 0 "astrocytes"
"cell_44" 0 "endothelial"
"cell_45" 0 "astrocytes"
"cell_46" 0 "microglia"
"cell_47" 0 "Adarb2 iNeuron"
"cell_48" 0 "OPC"
"cell_49" 0 "Adarb2 iNeuron"
"cell_50" 0 "microglia"
"cell_51" 0 "astrocytes"
"cell_52" 0 "L2/3 eNeuron"
"cell_53" 0 "L2/3 eNeuron"
"cell_54" 0 "OPC"
"cell_55" 0 "L4 eNeuron"
"cell_56" 0 "L2/3 eNeuron"
"cell_57" 0 "L2/3 eNeuron"
"cell_58" 0 "L2/3 eNeuron"
"cell_59" 0 "L2/3 eNeuron"
"cell_60" 0 "Adarb2 iNeuron"
"cell_61" 0 "L2/3 eNeuron"
"cell_62" 0 "Adarb2 iNeuron"
"cell_63" 0 "L2/3 eNeuron"
"cell_64" 0 "L4 eNeuron"
"cell_65" 0 "L4 eNeuron"
"cell_66" 0 "microglia"
