"cell_ID"	"FOV"	"cell_type"
"s1"	0	"L2/3 eNeuron"
"s2"	0	"L2/3 eNeuron"
"s3"	0	"L2/3 eNeuron"
"s4"	0	"Lhx6 iNeuron"
"s5"	0	"L2/3 eNeuron"
"s6"	0	"Lhx6 iNeuron"
"s7"	0	"L2/3 eNeuron"
"s8"	0	"Adarb2 iNeuron"
"s9"	0	"L2/3 eNeuron"
"s10"	0	"L2/3 eNeuron"
"s11"	0	"L2/3 eNeuron"
"s12"	0	"L2/3 eNeuron"
"s13"	0	"microglia"
"s14"	0	"L2/3 eNeuron"
"s15"	0	"L2/3 eNeuron"
"s16"	0	"Lhx6 iNeuron"
"s17"	0	"L2/3 eNeuron"
"s18"	0	"L2/3 eNeuron"
"s19"	0	"microglia"
"s20"	0	"L2/3 eNeuron"
"s21"	0	"L2/3 eNeuron"
"s22"	0	"Lhx6 iNeuron"
"s23"	0	"endothelial"
"s24"	0	"Adarb2 iNeuron"
"s25"	0	"L2/3 eNeuron"
"s26"	0	"Adarb2 iNeuron"
"s27"	0	"L2/3 eNeuron"
"s28"	0	"L2/3 eNeuron"
"s29"	0	"L2/3 eNeuron"
"s30"	0	"L2/3 eNeuron"
"s31"	0	"L2/3 eNeuron"
"s32"	0	"L2/3 eNeuron"
"s33"	0	"L2/3 eNeuron"
"s34"	0	"L2/3 eNeuron"
"s35"	0	"mural"
"s36"	0	"Adarb2 iNeuron"
"s37"	0	"astrocytes"
"s38"	0	"OPC"
"s39"	0	"L2/3 eNeuron"
"s40"	0	"astrocytes"
"s41"	0	"Adarb2 iNeuron"
"s42"	0	"astrocytes"
"s43"	0	"astrocytes"
"s44"	0	"endothelial"
"s45"	0	"astrocytes"
"s46"	0	"microglia"
"s47"	0	"Adarb2 iNeuron"
"s48"	0	"OPC"
"s49"	0	"Adarb2 iNeuron"
"s50"	0	"microglia"
"s51"	0	"astrocytes"
"s52"	0	"L2/3 eNeuron"
"s53"	0	"L2/3 eNeuron"
"s54"	0	"OPC"
"s55"	0	"L4 eNeuron"
"s56"	0	"L2/3 eNeuron"
"s57"	0	"L2/3 eNeuron"
"s58"	0	"L2/3 eNeuron"
"s59"	0	"L2/3 eNeuron"
"s60"	0	"Adarb2 iNeuron"
"s61"	0	"L2/3 eNeuron"
"s62"	0	"Adarb2 iNeuron"
"s63"	0	"L2/3 eNeuron"
"s64"	0	"L4 eNeuron"
"s65"	0	"L4 eNeuron"
"s66"	0	"microglia"
"s67"	0	"L2/3 eNeuron"
"s68"	0	"L2/3 eNeuron"
"s69"	0	"L2/3 eNeuron"
"s70"	0	"L2/3 eNeuron"
"s71"	0	"L2/3 eNeuron"
"s72"	0	"L2/3 eNeuron"
"s73"	0	"L2/3 eNeuron"
"s74"	0	"L2/3 eNeuron"
"s75"	0	"L2/3 eNeuron"
"s76"	0	"L2/3 eNeuron"
"s77"	0	"L2/3 eNeuron"
"s78"	0	"L2/3 eNeuron"
"s79"	0	"L2/3 eNeuron"
"s80"	0	"L2/3 eNeuron"
"s81"	0	"L2/3 eNeuron"
"s82"	0	"L4 eNeuron"
"s83"	0	"L2/3 eNeuron"
"s84"	0	"L2/3 eNeuron"
"s85"	0	"L2/3 eNeuron"
"s86"	0	"Lhx6 iNeuron"
"s87"	0	"endothelial"
"s88"	0	"L2/3 eNeuron"
"s89"	0	"L4 eNeuron"
"s90"	0	"L4 eNeuron"
"s91"	0	"L2/3 eNeuron"
"s92"	0	"L2/3 eNeuron"
"s93"	0	"L2/3 eNeuron"
"s94"	0	"Lhx6 iNeuron"
"s95"	0	"L2/3 eNeuron"
"s96"	0	"L4 eNeuron"
"s97"	0	"L2/3 eNeuron"
"s98"	0	"L2/3 eNeuron"
"s99"	0	"L2/3 eNeuron"
"s100"	0	"astrocytes"
"s101"	0	"L2/3 eNeuron"
"s102"	0	"L4 eNeuron"
"s103"	0	"L2/3 eNeuron"
"s104"	0	"L4 eNeuron"
"s105"	0	"OPC"
"s106"	0	"OPC"
"s107"	0	"Lhx6 iNeuron"
"s108"	0	"L2/3 eNeuron"
"s109"	0	"L2/3 eNeuron"
"s110"	0	"Adarb2 iNeuron"
"s111"	0	"L2/3 eNeuron"
"s112"	0	"L2/3 eNeuron"
"s113"	0	"L2/3 eNeuron"
"s114"	0	"Adarb2 iNeuron"
"s115"	0	"L2/3 eNeuron"
"s116"	0	"endothelial"
"s117"	0	"endothelial"
"s118"	0	"astrocytes"
"s119"	1	"L4 eNeuron"
