"cell_ID"	"X"	"Y"
"s1"	1632.02	-1305.7
"s2"	1589.47	-669.51
"s3"	1539.89	-1185.9
"s4"	1513.94	-710.24
"s5"	1477.85	-763.87
"s6"	1304.03	-1142.4
"s7"	1291.34	-957.71
"s8"	1282.49	-1725.4
"s9"	1218.73	-806.56
"s10"	1192.59	-1800.1
"s11"	1202.12	-1886
"s12"	1183.07	-950.97
"s13"	1162.46	-593.51
"s14"	1128.82	-1596.5
"s15"	1115.86	-1021.4
"s16"	1102.88	-1696
"s17"	1074.92	-391.16
"s18"	1045.9	-597.81
"s19"	1037.4	-1865.2
"s20"	1024.7	-469.54
"s21"	1017.8	-1636.6
"s22"	1006	-344.12
"s23"	992.9	-1293.3
"s24"	980.8	-1378.9
"s25"	938.6	-1594.2
"s26"	922.8	-822.23
"s27"	923.3	-560.36
"s28"	912.5	-742.3
"s29"	913.1	-1751.6
"s30"	882	-668.36
"s31"	810.5	-241.57
"s32"	800.9	-624.11
"s33"	802.4	-103.12
"s34"	798.2	-449.39
"s35"	752.7	-1342.6
"s36"	704.5	-407.86
"s37"	618.2	-894.7
"s38"	610.6	-1272.8
"s39"	612.9	-1363.8
"s40"	565.4	-421.27
"s41"	553.6	-271.42
"s42"	531.9	-1069
"s43"	460.6	-426.59
"s44"	417.4	-669.71
"s45"	359.3	-782.61
"s46"	348.1	-228.25
"s47"	354.2	-442.86
"s48"	341.4	-973.21
"s49"	321	-1201.2
"s50"	321.4	-854.77
"s51"	1924.97	-855.84
"s52"	1838.05	-469.57
"s53"	1831.19	-1090.2
"s54"	1801.58	-267.56
"s55"	1785.95	-981.25
"s56"	1769.95	-390.59
"s57"	1734.44	-1117
"s58"	1687.25	-520.51
"s59"	1664.57	-980.24
"s60"	1657.9	-799.96
"s61"	1508.52	-527.31
"s62"	1482.67	-621.1
"s63"	1369.49	-571.13
"s64"	1839.07	-1458
"s65"	1802.32	-1738.7
"s66"	1805	-1561.7
"s67"	1812.68	-1319.2
"s68"	1797.44	-1875.4
"s69"	1712.56	-1428.9
"s70"	1679.39	-152.2
"s71"	1649.39	-334.16
"s72"	1632.03	-1623.4
"s73"	1575.96	-228.45
"s74"	1575.84	-1829.6
"s75"	1556.42	-1741.8
"s76"	1566.09	-1418.1
"s77"	1551.13	-363.87
"s78"	1492.65	-291.89
"s79"	1474.76	-1745
"s80"	1466.01	-1617.6
"s81"	1449.26	-1238
"s82"	1457.75	-1875.9
"s83"	1457.65	-402.8
"s84"	1444.82	-238.72
"s85"	1440.75	-1298.3
"s86"	1427.06	-1401
"s87"	1414.83	-312.93
"s88"	1400.12	-448.36
"s89"	1357.53	-699.92
"s90"	1351.5	-1923.8
"s91"	1339.72	-370.94
"s92"	1298.05	-781.88
"s93"	1244.38	-191.29
"s94"	1232.85	-1960
"s95"	1228.13	-739.38
"s96"	1210.65	-374.81
"s97"	1208	-1502.4
"s98"	1171.89	-266
"s99"	1156.03	-1357.2
"s100"	1142.25	-446.9
"s101"	1109.02	-1308.9
"s102"	1124.85	-745.68
"s103"	1106.51	-1460.8
"s104"	1064.34	-799.79
"s105"	992.3	-996.9
"s106"	990.5	-886.81
"s107"	969.6	-1198.5
"s108"	956.3	-113.16
"s109"	939.4	-280.75
"s110"	907.5	-1444
"s111"	894.4	-234.96
"s112"	891.1	-404.65
"s113"	874.3	-1127
"s114"	786.5	-921.13
"s115"	775.7	-796.06
"s116"	490.8	-1336
"s117"	421.9	-1794.6
"s118"	270	-1383.3
"s119"	1915.47	-1378.7
"s120"	1896.97	-1547.5
"s121"	1811.07	-1634
"s122"	3248.83	-681.3
"s123"	3142.78	-773.77
"s124"	3121.48	-861.26
"s125"	3076.52	-682.46
"s126"	3023.19	-495.56
"s127"	3013.1	-594.86
"s128"	2990.89	-837.63
"s129"	2904.34	-667.59
"s130"	2865.11	-575.64
"s131"	2863.69	-830.55
"s132"	2773.15	-822.66
"s133"	2719.27	-926.19
"s134"	3561.82	-1601.6
"s135"	3523.37	-1354.5
"s136"	3495.02	-1800.3
"s137"	3492.02	-1675.2
"s138"	3423.84	-1597.6
"s139"	3420.45	-911.59
"s140"	3388.07	-1512.5
"s141"	3289.95	-1083.2
"s142"	3286.12	-1606.3
"s143"	3229.47	-1456.6
"s144"	3163.33	-1464.7
"s145"	3140.89	-1080.9
"s146"	3155.23	-1255.1
"s147"	3144.8	-1814.4
"s148"	3126.12	-1320.5
"s149"	3099.55	-376.66
"s150"	3054.52	-301.91
"s151"	3054.32	-1376.3
"s152"	3039.23	-1224.7
"s153"	3011.5	-407.08
"s154"	2997.63	-1439.6
"s155"	2906.28	-1660.6
"s156"	2897.63	-1213.6
"s157"	2869.05	-1581.2
"s158"	2865.05	-1496.8
"s159"	2853.74	-375.37
"s160"	2856.53	-451.05
"s161"	2847.87	-508.2
"s162"	2836.59	-1402.5
"s163"	2807.27	-1159.9
"s164"	2746.73	-1495.1
"s165"	2729.73	-366.94
"s166"	2729.87	-1388.5
"s167"	2722.57	-513.53
"s168"	2710.83	-1039.8
"s169"	2700.37	-289.92
"s170"	2686.47	-1555.4
"s171"	2657.27	-397.93
"s172"	2639.67	-1816.8
"s173"	2637.67	-1311.8
"s174"	2633.27	-1223.2
"s175"	2621.07	-1954.9
"s176"	2624.17	-1410.2
"s177"	2615.77	-1675.7
"s178"	2607.77	-1002.1
"s179"	2599.27	-1103.8
"s180"	2590.07	-247.23
"s181"	2583.17	-1534.7
"s182"	2569.37	-493.17
"s183"	2563.67	-176.2
"s184"	2543.37	-1197.8
"s185"	2528.47	-1370.7
"s186"	2530.87	-324.83
"s187"	2529.57	-1443.6
"s188"	2503.17	-427.71
"s189"	2501.77	-1535.1
"s190"	2463.47	-900.27
"s191"	2445.37	-224.88
"s192"	2421.67	-1461.1
"s193"	2414.97	-1021.7
"s194"	2408.07	-1117.7
"s195"	2413.27	-440.01
"s196"	2407.37	-1737.6
"s197"	2385.87	-945.65
"s198"	2364.97	-368.95
"s199"	2376.57	-561.77
"s200"	2323.37	-1802.9
"s201"	2332.07	-1326.7
"s202"	2309.97	-1687.2
"s203"	2296.57	-514.6
"s204"	2285.47	-1241.1
"s205"	2279.77	-861.75
"s206"	2251.07	-590.72
"s207"	2252.07	-743.94
"s208"	2247.57	-1463.2
"s209"	2240.87	-1109
"s210"	2226.67	-464.69
"s211"	2203.27	-918.22
"s212"	2197.37	-1748.9
"s213"	2162.97	-1205.4
"s214"	2153.47	-743.17
"s215"	2126.17	-1087.2
"s216"	2099.27	-856.63
"s217"	2104.27	-531.71
"s218"	2086.87	-1751.5
"s219"	2082.07	-653.89
"s220"	2083.87	-1625.7
"s221"	2067.77	-751.4
"s222"	2052.37	-1164.1
